Year,Winner_Open_Australie_men,Runner-Up_Open_Australie_men,Score_Open_Australie_men,Winner_Rolland_Garros_men,Runner-Up_Rolland_Garros_men,Score_Rolland_Garros_men,Winner_US_Open_men,Runner-Up_US_Open_men,Score_US_Open_men,Winner_Wimbledon_men,Runner-Up_Wimbledon_men,Score_Wimbledon_men,Winner_Open_Australie_women,Runner-Up_Open_Australie_women,Score_Open_Australie_women,Winner_Rolland_Garros_women,Runner-Up_Rolland_Garros_women,Score_Rolland_Garros_women,Winner_US_Open_women,Runner-Up_US_Open_women,Score_US_Open_women,Winner_Wimbledon_women,Runner-Up_Wimbledon_women,Score_Wimbledon_women,1st_place_atp,2nd_place_atp,3rd_place_atp,1st_place_wta,2nd_place_wta,3rd_place_wta
2024,J. Sinner,D. Medvedev,"(3-6, 3-6, 6-4, 6-4, 6-3)",,,,,,,,,,A. Sabalenka,Q. Zheng,"(6-3, 6-2)",,,,,,,,,,,,,,,
2023,N. Djokovic,S. Tsitsipas,"(6-3, 7-6, 7-6)",N. Djokovic,C. Ruud,"(7-6, 6-3, 7-5)",N. Djokovic,D. Medvedev,"(6-3, 7-6, 6-3)",C. Alcaraz,N. Djokovic,"(1-6, 7-6, 6-1, 3-6, 6-4)",A. Sabalenka,E. Rybakina,"(4-6, 6-3, 6-4)",I. Swiatek,K. Muchova,"(6-2, 5-7, 6-4)",C. Gauff,A. Sabalenka,"(2-6, 6-3, 6-2)",M. Vondrousova,O. Jabeur,"(6-4, 6-4)",,,,,,
2022,R. Nadal,D. Medvedev,"(2-6, 6-7, 6-4, 6-4, 7-5)",R. Nadal,C. Ruud,"(6-3, 6-3, 6-0)",C. Alcaraz,C. Ruud,"(6-4, 2-6, 7-6, 6-3)",N. Djokovic,N. Kyrgios,"(4-6, 6-3, 6-4, 7-6)",A. Barty,D. Collins,"(6-3, 7-6)",I. Swiatek,C. Gauff,"(6-1, 6-3)",I. Swiatek,O. Jabeur,"(6-2, 7-6)",E. Rybakina,O. Jabeur,"(3-6, 6-2, 6-2)",,,,,,
2021,N. Djokovic,D. Medvedev,"(7-5, 6-2, 6-2)",N. Djokovic,S. Tsitsipas,"(6-7, 2-6, 6-3, 6-2, 6-4)",D. Medvedev,N. Djokovic,"(6-4, 6-4, 6-4)",N. Djokovic,M. Berrettini,"(6-7, 6-4, 6-4, 6-3)",N. Osaka,J. Brady,"(6-4, 6-3)",B. Krejcikova,A. Pavlyuchenkova,"(6-1, 2-6, 6-4)",E. Raducanu,L. Fernandez,"(6-4, 6-3)",A. Barty,K. Pliskova,"(6-3, 6-7, 6-3)",,,,,,
2020,N. Djokovic,D. Thiem,"(6-4, 4-6, 2-6, 6-3, 6-4)",R. Nadal,N. Djokovic,"(6-0, 6-2, 7-5)",D. Thiem,A. Zverev,"(2-6, 4-6, 6-4, 6-3, 7-6)",Non Attribué,Non Attribué,(),S. Kenin,G. Muguruza,"(4-6, 6-2, 6-2)",I. Swiatek,S. Kenin,"(6-4, 6-1)",N. Osaka,V. Azarenka,"(1-6, 6-3, 6-3)",Non Attribué,Non Attribué,(),N. Djokovic,R. Nadal,D. Thiem,A. Barty,S. Halep,N. Osaka
2019,N. Djokovic,R. Nadal,"(6-3, 6-2, 6-3)",R. Nadal,D. Thiem,"(6-3, 5-7, 6-1, 6-1)",R. Nadal,D. Medvedev,"(7-5, 6-3, 5-7, 4-6, 6-4)",N. Djokovic,R. Federer,"(7-6, 1-6, 7-6, 4-6, 13-12)",N. Osaka,P. Kvitova,"(7-6, 5-7, 6-4)",A. Barty,M. Vondrousova,"(6-1, 6-3)",B. Andreescu,S. Williams,"(6-3, 7-5)",S. Halep,S. Williams,"(6-2, 6-2)",R. Nadal,N. Djokovic,R. Federer,A. Barty,K. Pliskova,N. Osaka
2018,R. Federer,M. Cilic,"(6-2, 6-7, 6-3, 3-6, 6-1)",R. Nadal,D. Thiem,"(6-4, 6-3, 6-2)",N. Djokovic,J. Del Potro,"(6-3, 7-6, 6-3)",N. Djokovic,K. Anderson,"(6-2, 6-2, 7-6)",C. Wozniacki,S. Halep,"(7-6, 3-6, 6-4)",S. Halep,S. Stephens,"(3-6, 6-4, 6-1)",N. Osaka,S. Williams,"(6-2, 6-4)",A. Kerber,S. Williams,"(6-3, 6-3)",N. Djokovic,R. Nadal,R. Federer,S. Halep,A. Kerber,C. Wozniacki
2017,R. Federer,R. Nadal,"(6-4, 3-6, 6-1, 3-6, 6-3)",R. Nadal,S. Wawrinka,"(6-2, 6-3, 6-1)",R. Nadal,K. Anderson,"(6-3, 6-3, 6-4)",R. Federer,M. Cilic,"(6-3, 6-1, 6-4)",S. Williams,V. Williams,"(6-4, 6-4)",J. Ostapenko,S. Halep,"(4-6, 6-4, 6-3)",S. Stephens,M. Keys,"(6-3, 6-0)",G. Muguruza,V. Williams,"(7-5, 6-0)",R. Nadal,R. Federer,G. Dimitrov,S. Halep,G. Muguruza,C. Wozniacki
2016,N. Djokovic,A. Murray,"(6-1, 7-5, 7-6)",N. Djokovic,A. Murray,"(3-6, 6-1, 6-2, 6-4)",S. Wawrinka,N. Djokovic,"(6-7, 6-4, 7-5, 6-3)",A. Murray,M. Raonic,"(6-4, 7-6, 7-6)",A. Kerber,S. Williams,"(6-4, 3-6, 6-4)",G. Muguruza,S. Williams,"(7-5, 6-4)",A. Kerber,K. Pliskova,"(6-3, 4-6, 6-4)",S. Williams,A. Kerber,"(7-5, 6-3)",A. Murray,N. Djokovic,M. Raonic,A. Kerber,S. Williams,A. Radwanska
2015,N. Djokovic,A. Murray,"(7-6, 6-7, 6-3, 6-0)",S. Wawrinka,N. Djokovic,"(4-6, 6-4, 6-3, 6-4)",N. Djokovic,R. Federer,"(6-4, 5-7, 6-4, 6-4)",N. Djokovic,R. Federer,"(7-6, 6-7, 6-4, 6-3)",S. Williams,M. Sharapova,"(6-3, 7-6)",S. Williams,L. Safarova,"(6-3, 6-7, 6-2)",F. Pennetta,R. Vinci,"(7-6, 6-2)",S. Williams,G. Muguruza,"(6-4, 6-4)",N. Djokovic,A. Murray,R. Federer,S. Williams,S. Halep,G. Muguruza
2014,S. Wawrinka,R. Nadal,"(6-3, 6-2, 3-6, 6-3)",R. Nadal,N. Djokovic,"(3-6, 7-5, 6-2, 6-4)",M. Cilic,K. Nishikori,"(6-3, 6-3, 6-3)",N. Djokovic,R. Federer,"(6-7, 6-4, 7-6, 5-7, 6-4)",N. Li,D. Cibulkova,"(7-6, 6-0)",M. Sharapova,S. Halep,"(6-4, 6-7, 6-4)",S. Williams,C. Wozniacki,"(6-3, 6-3)",P. Kvitova,E. Bouchard,"(6-3, 6-0)",N. Djokovic,R. Federer,R. Nadal,S. Williams,M. Sharapova,S. Halep
2013,N. Djokovic,A. Murray,"(6-7, 7-6, 6-3, 6-2)",R. Nadal,D. Ferrer,"(6-3, 6-2, 6-3)",R. Nadal,N. Djokovic,"(6-2, 3-6, 6-4, 6-1)",A. Murray,N. Djokovic,"(6-4, 7-5, 6-4)",V. Azarenka,N. Li,"(4-6, 6-4, 6-3)",S. Williams,M. Sharapova,"(6-4, 6-4)",S. Williams,V. Azarenka,"(7-5, 6-7, 6-1)",M. Bartoli,S. Lisicki,"(6-1, 6-4)",R. Nadal,N. Djokovic,D. Ferrer,S. Williams,V. Azarenka,N. Li
2012,N. Djokovic,R. Nadal,"(5-7, 6-4, 6-2, 6-7, 7-5)",R. Nadal,N. Djokovic,"(6-4, 6-3, 2-6, 7-5)",A. Murray,N. Djokovic,"(7-6, 7-5, 2-6, 3-6, 6-2)",R. Federer,A. Murray,"(4-6, 7-5, 6-3, 6-4)",V. Azarenka,M. Sharapova,"(6-3, 6-0)",M. Sharapova,S. Errani,"(6-3, 6-2)",S. Williams,V. Azarenka,"(6-2, 2-6, 7-5)",S. Williams,A. Radwanska,"(6-1, 5-7, 6-2)",N. Djokovic,R. Federer,A. Murray,V. Azarenka,M. Sharapova,S. Williams
2011,N. Djokovic,A. Murray,"(6-4, 6-2, 6-3)",R. Nadal,R. Federer,"(7-5, 7-6, 5-7, 6-1)",N. Djokovic,R. Nadal,"(6-2, 6-4, 6-7, 6-1)",N. Djokovic,R. Nadal,"(6-4, 6-1, 1-6, 6-3)",K. Clijsters,N. Li,"(3-6, 6-3, 6-3)",N. Li,F. Schiavone,"(6-4, 7-6)",S. Stosur,S. Williams,"(6-2, 6-3)",P. Kvitova,M. Sharapova,"(6-3, 6-4)",N. Djokovic,R. Nadal,R. Federer,C. Wozniacki,P. Kvitova,V. Azarenka
2010,R. Federer,A. Murray,"(6-3, 6-4, 7-6)",R. Nadal,R. Soderling,"(6-4, 6-2, 6-4)",R. Nadal,N. Djokovic,"(6-4, 5-7, 6-4, 6-2)",R. Nadal,T. Berdych,"(6-3, 7-5, 6-4)",S. Williams,J. Henin,"(6-4, 3-6, 6-2)",F. Schiavone,S. Stosur,"(6-4, 7-6)",K. Clijsters,V. Zvonareva,"(6-2, 6-1)",S. Williams,V. Zvonareva,"(6-3, 6-2)",R. Nadal,R. Federer,N. Djokovic,C. Wozniacki,V. Zvonareva,K. Clijsters
2009,R. Nadal,R. Federer,"(7-5, 3-6, 7-6, 3-6, 6-2)",R. Federer,R. Soderling,"(6-1, 7-6, 6-4)",J. Del Potro,R. Federer,"(3-6, 7-6, 4-6, 7-6, 6-2)",R. Federer,A. Roddick,"(5-7, 7-6, 7-6, 3-6, 16-14)",S. Williams,D. Safina,"(6-0, 6-3)",S. Kuznetsova,D. Safina,"(6-4, 6-2)",K. Clijsters,C. Wozniacki,"(7-5, 6-3)",S. Williams,V. Williams,"(7-6, 6-2)",R. Federer,R. Nadal,N. Djokovic,S. Williams,D. Safina,S. Kuznetsova
2008,N. Djokovic,J. Tsonga,"(4-6, 6-4, 6-3, 7-6)",R. Nadal,R. Federer,"(6-1, 6-3, 6-0)",R. Federer,A. Murray,"(6-2, 7-5, 6-2)",R. Nadal,R. Federer,"(6-4, 6-4, 6-7, 6-7, 9-7)",M. Sharapova,A. Ivanovic,"(7-5, 6-3)",A. Ivanovic,D. Safina,"(6-4, 6-3)",S. Williams,J. Jankovic,"(6-4, 7-5)",V. Williams,S. Williams,"(7-5, 6-4)",R. Nadal,R. Federer,N. Djokovic,J. Jankovic,S. Williams,D. Safina
2007,R. Federer,F. Gonzalez,"(7-6, 6-4, 6-4)",R. Nadal,R. Federer,"(6-3, 4-6, 6-3, 6-4)",R. Federer,N. Djokovic,"(7-6, 7-6, 6-4)",R. Federer,R. Nadal,"(7-6, 4-6, 7-6, 2-6, 6-2)",S. Williams,M. Sharapova,"(6-1, 6-2)",J. Henin,A. Ivanovic,"(6-1, 6-2)",J. Henin,S. Kuznetsova,"(6-1, 6-3)",V. Williams,M. Bartoli,"(6-4, 6-1)",R. Federer,R. Nadal,N. Djokovic,J. Henin,S. Kuznetsova,J. Jankovic
2006,R. Federer,M. Baghdatis,"(5-7, 7-5, 6-0, 6-2)",R. Nadal,R. Federer,"(1-6, 6-1, 6-4, 7-6)",R. Federer,A. Roddick,"(6-2, 4-6, 7-5, 6-1)",R. Federer,R. Nadal,"(6-0, 7-6, 6-7, 6-3)",A. Mauresmo,J. Henin,"(6-1, 2-0)",J. Henin,S. Kuznetsova,"(6-4, 6-4)",M. Sharapova,J. Henin,"(6-4, 6-4)",A. Mauresmo,J. Henin,"(2-6, 6-3, 6-4)",R. Federer,R. Nadal,N. Davydenko,J. Henin,M. Sharapova,A. Mauresmo
2005,M. Safin,L. Hewitt,"(1-6, 6-3, 6-4, 6-4)",R. Nadal,M. Puerta,"(6-7, 6-3, 6-1, 7-5)",R. Federer,A. Agassi,"(6-3, 2-6, 7-6, 6-1)",R. Federer,A. Roddick,"(6-2, 7-6, 6-4)",S. Williams,L. Davenport,"(2-6, 6-3, 6-0)",J. Henin,M. Pierce,"(6-1, 6-1)",K. Clijsters,M. Pierce,"(6-3, 6-1)",V. Williams,L. Davenport,"(4-6, 7-6, 9-7)",R. Federer,R. Nadal,A. Roddick,L. Davenport,K. Clijsters,A. Mauresmo
2004,R. Federer,M. Safin,"(7-6, 6-4, 6-2)",G. Gaudio,G. Coria,"(0-6, 3-6, 6-4, 6-1, 8-6)",R. Federer,L. Hewitt,"(6-0, 7-6, 6-0)",R. Federer,A. Roddick,"(4-6, 7-5, 7-6, 6-4)",J. Henin,K. Clijsters,"(6-3, 4-6, 6-3)",A. Myskina,E. Dementieva,"(6-1, 6-2)",S. Kuznetsova,E. Dementieva,"(6-3, 7-5)",M. Sharapova,S. Williams,"(6-1, 6-4)",R. Federer,A. Roddick,L. Hewitt,L. Davenport,A. Mauresmo,A. Myskina
2003,A. Agassi,R. Schuettler,"(6-2, 6-2, 6-1)",J. Ferrero,M. Verkerk,"(6-1, 6-3, 6-2)",A. Roddick,J. Ferrero,"(6-3, 7-6, 6-3)",R. Federer,M. Philippoussis,"(7-6, 6-2, 7-6)",S. Williams,V. Williams,"(7-6, 3-6, 6-4)",J. Henin,K. Clijsters,"(6-0, 6-4)",J. Henin,K. Clijsters,"(7-5, 6-1)",S. Williams,V. Williams,"(4-6, 6-4, 6-2)",A. Roddick,R. Federer,J. Ferrero,J. Henin,K. Clijsters,S. Williams
2002,T. Johansson,M. Safin,"(3-6, 6-4, 6-4, 7-6)",A. Costa,J. Ferrero,"(6-1, 6-0, 4-6, 6-3)",P. Sampras,A. Agassi,"(6-3, 6-4, 5-7, 6-4)",L. Hewitt,D. Nalbandian,"(6-1, 6-3, 6-2)",J. Capriati,M. Hingis,"(4-6, 7-6, 6-2)",S. Williams,V. Williams,"(7-5, 6-3)",S. Williams,V. Williams,"(6-4, 6-3)",S. Williams,V. Williams,"(7-6, 6-3)",L. Hewitt,A. Agassi,M. Safin,S. Williams,V. Williams,J. Capriati
2001,A. Agassi,A. Clément,"(6-4, 6-2, 6-2)",G. Kuerten,A. Corretja,"(6-7, 7-5, 6-2, 6-0)",L. Hewitt,P. Sampras,"(7-6, 6-1, 6-1)",G. Ivanisevic,P. Rafter,"(6-3, 3-6, 6-3, 2-6, 9-7)",J. Capriati,M. Hingis,"(6-4, 6-3)",J. Capriati,K. Clijsters,"(1-6, 6-4, 12-10)",V. Williams,S. Williams,"(6-2, 6-4)",V. Williams,J. Henin,"(6-1, 3-6, 6-0)",L. Hewitt,G. Kuerten,A. Agassi,L. Davenport,J. Capriati,V. Williams
2000,A. Agassi,Y. Kafelnikov,"(3-6, 6-3, 6-2, 6-4)",G. Kuerten,M. Norman,"(6-2, 6-3, 2-6, 7-6)",M. Safin,P. Sampras,"(6-4, 6-3, 6-3)",P. Sampras,P. Rafter,"(6-7, 7-6, 6-4, 6-2)",L. Davenport,M. Hingis,"(6-1, 7-5)",M. Pierce,C. Martinez,"(6-2, 7-5)",V. Williams,L. Davenport,"(6-4, 7-5)",V. Williams,L. Davenport,"(6-3, 7-6)",G. Kuerten,M. Safin,P. Sampras,M. Hingis,L. Davenport,V. Williams
1999,Y. Kafelnikov,T. Enqvist,"(4-6, 6-0, 6-3, 7-6)",A. Agassi,A. Medvedev,"(1-6, 2-6, 6-4, 6-3, 6-4)",A. Agassi,T. Martin,"(6-4, 6-7, 6-7, 6-3, 6-2)",P. Sampras,A. Agassi,"(6-3, 6-4, 7-5)",M. Hingis,A. Mauresmo,"(6-2, 6-3)",S. Graf,M. Hingis,"(4-6, 7-5, 6-2)",S. Williams,M. Hingis,"(6-3, 7-6)",L. Davenport,S. Graf,"(6-4, 7-5)",A. Agassi,E. Kafelnikov,P. Sampras,M. Hingis,L. Davenport,V. Williams
1998,P. Korda,M. Rios,"(6-2, 6-2, 6-2)",C. Moya,A. Corretja,"(6-3, 7-5, 6-3)",P. Rafter,M. Philippoussis,"(6-3, 3-6, 6-2, 6-0)",P. Sampras,G. Ivanisevic,"(6-7, 7-6, 6-4, 3-6, 6-2)",M. Hingis,C. Martinez,"(6-3, 6-3)",A. Sanchez-Vicario,M. Seles,"(7-6, 0-6, 6-2)",L. Davenport,M. Hingis,"(6-3, 7-5)",J. Novotna,N. Tauziat,"(6-4, 7-6)",P. Sampras,M. Rios,A. Corretja,L. Davenport,M. Hingis,J. Novotna
1997,P. Sampras,C. Moya,"(6-2, 6-3, 6-3)",G. Kuerten,S. Bruguera,"(6-3, 6-4, 6-2)",P. Rafter,G. Rusedski,"(6-3, 6-2, 4-6, 7-5)",P. Sampras,C. Pioline,"(6-4, 6-2, 6-4)",M. Hingis,M. Pierce,"(6-2, 6-2)",I. Majoli,M. Hingis,"(6-4, 6-2)",M. Hingis,V. Williams,"(6-0, 6-4)",M. Hingis,J. Novotna,"(2-6, 6-3, 6-3)",P. Sampras,P. Rafter,M. Chang,,,
1996,B. Becker,M. Chang,"(6-2, 6-4, 2-6, 6-2)",Y. Kafelnikov,M. Stich,"(7-6, 7-5, 7-6)",P. Sampras,M. Chang,"(6-1, 6-4, 7-6)",R. Krajicek,M. Washington,"(6-3, 6-4, 6-3)",M. Seles,A. Huber,"(6-4, 6-1)",S. Graf,A. Sanchez-Vicario,"(6-3, 6-7, 10-8)",S. Graf,M. Seles,"(7-5, 6-4)",S. Graf,A. Sanchez-Vicario,"(6-3, 7-5)",P. Sampras,M. Chang,E. Kafelnikov,,,
1995,A. Agassi,P. Sampras,"(4-6, 6-1, 7-6, 6-4)",T. Muster,M. Chang,"(7-5, 6-2, 6-4)",P. Sampras,A. Agassi,"(6-4, 6-3, 4-6, 7-5)",P. Sampras,B. Becker,"(6-7, 6-2, 6-4, 6-2)",M. Pierce,A. Sanchez-Vicario,"(6-3, 6-2)",S. Graf,A. Sanchez-Vicario,"(5-7, 6-4, 6-0)",S. Graf,M. Seles,"(7-6, 0-6, 6-3)",S. Graf,A. Sanchez-Vicario,"(4-6, 6-1, 7-5)",P. Sampras,A. Agassi,T. Muster,,,
1994,P. Sampras,T. Martin,"(7-6, 6-4, 6-4)",S. Bruguera,A. Berasategui,"(6-3, 7-5, 2-6, 6-1)",A. Agassi,M. Stich,"(6-1, 7-6, 7-5)",P. Sampras,G. Ivanisevic,"(7-6, 7-6, 6-0)",S. Graf,A. Sanchez-Vicario,"(6-0, 6-2)",A. Sanchez-Vicario,M. Pierce,"(6-4, 6-4)",A. Sanchez-Vicario,S. Graf,"(1-6, 7-6, 6-4)",C. Martinez,M. Navratilova,"(6-4, 3-6, 6-3)",P. Sampras,A. Agassi,B. Becker,,,
1993,J. Courier,S. Edberg,"(6-2, 6-1, 2-6, 7-5)",S. Bruguera,J. Courier,"(6-4, 2-6, 6-2, 3-6, 6-3)",P. Sampras,C. Pioline,"(6-4, 6-4, 6-3)",P. Sampras,J. Courier,"(7-6, 7-6, 3-6, 6-3)",M. Seles,S. Graf,"(4-6, 6-3, 6-2)",S. Graf,A. Sanchez-Vicario,"(4-6, 6-2, 6-4)",S. Graf,H. Sukova,"(6-3, 6-3)",S. Graf,J. Novotna,"(7-6, 1-6, 6-4)",P. Sampras,M. Stich,J. Courier,,,
1992,J. Courier,S. Edberg,"(6-3, 3-6, 6-4, 6-2)",J. Courier,P. Korda,"(7-5, 6-2, 6-1)",S. Edberg,P. Sampras,"(3-6, 6-4, 7-6, 6-2)",A. Agassi,G. Ivanisevic,"(6-7, 6-4, 6-4, 1-6, 6-4)",M. Seles,M. Fernandez,"(6-2, 6-3)",M. Seles,S. Graf,"(6-2, 3-6, 10-8)",M. Seles,A. Sanchez-Vicario,"(6-3, 6-3)",S. Graf,M. Seles,"(6-2, 6-1)",J. Courier,S. Edberg,P. Sampras,,,
1991,B. Becker,I. Lendl,"(1-6, 6-4, 6-4, 6-4)",J. Courier,A. Agassi,"(3-6, 6-4, 2-6, 6-1, 6-4)",S. Edberg,J. Courier,"(6-2, 6-4, 6-0)",M. Stich,B. Becker,"(6-4, 7-6, 6-4)",M. Seles,J. Novotna,"(5-7, 6-3, 6-1)",M. Seles,A. Sanchez-Vicario,"(6-3, 6-4)",M. Seles,M. Navratilova,"(7-6, 6-1)",S. Graf,G. Sabatini,"(6-4, 3-6, 8-6)",S. Edberg,J. Courier,B. Becker,,,
1990,I. Lendl,S. Edberg,"(4-6, 7-6, 5-2)",A. Gomez,A. Agassi,"(6-3, 2-6, 6-4, 6-4)",P. Sampras,A. Agassi,"(6-4, 6-3, 6-2)",S. Edberg,B. Becker,"(6-2, 6-2, 3-6, 3-6, 6-4)",S. Graf,M. Fernandez,"(6-3, 6-4)",M. Seles,S. Graf,"(7-6, 6-4)",G. Sabatini,S. Graf,"(6-2, 7-6)",M. Navratilova,Z. Garrison-Jackson,"(6-4, 6-1)",S. Edberg,B. Becker,I. Lendl,,,
1989,I. Lendl,M. Mecir Sr.,"(6-2, 6-2, 6-2)",M. Chang,S. Edberg,"(6-1, 3-6, 4-6, 6-4, 6-2)",B. Becker,I. Lendl,"(7-6, 1-6, 6-3, 7-6)",B. Becker,S. Edberg,"(6-0, 7-6, 6-4)",S. Graf,H. Sukova,"(6-4, 6-4)",A. Sanchez-Vicario,S. Graf,"(7-6, 3-6, 7-5)",S. Graf,M. Navratilova,"(3-6, 7-5, 6-1)",,,,I. Lendl,B. Becker,S. Edberg,,,
