Year,Winner_Open_Australie_men,Runner-Up_Open_Australie_men,Score_Open_Australie_men,Winner_Rolland_Garros_men,Runner-Up_Rolland_Garros_men,Score_Rolland_Garros_men,Winner_US_Open_men,Runner-Up_US_Open_men,Score_US_Open_men,Winner_Wimbledon_men,Runner-Up_Wimbledon_men,Score_Wimbledon_men,Winner_Open_Australie_women,Runner-Up_Open_Australie_women,Score_Open_Australie_women,Winner_Rolland_Garros_women,Runner-Up_Rolland_Garros_women,Score_Rolland_Garros_women,Winner_US_Open_women,Runner-Up_US_Open_women,Score_US_Open_women,Winner_Wimbledon_women,Runner-Up_Wimbledon_women,Score_Wimbledon_women,1st_place_atp,2nd_place_atp,3rd_place_atp,1st_place_wta,2nd_place_wta,3rd_place_wta
1988,M. Wilander,P. Cash,"(6-3, 6-7, 3-6, 6-1, 8-6)",M. Wilander,H. Leconte,"(7-5, 6-2, 6-1)",M. Wilander,I. Lendl,"(6-4, 4-6, 6-3, 5-7, 6-4)",S. Edberg,B. Becker,"(4-6, 7-6, 6-4, 6-2)",S. Graf,C. Evert,"(6-1, 7-6)",S. Graf,N. Zvereva,"(6-0, 6-0)",S. Graf,G. Sabatini,"(6-3, 3-6, 6-1)",S. Graf,M. Navratilova,"(5-7, 6-2, 6-1)",,,,,,
1987,S. Edberg,P. Cash,"(6-3, 6-4, 3-6, 5-7, 6-3)",I. Lendl,M. Wilander,"(7-5, 6-2, 3-6, 7-6)",I. Lendl,M. Wilander,"(6-7, 6-0, 7-6, 6-4)",P. Cash,I. Lendl,"(7-6, 6-2, 7-5)",H. Mandlikova,M. Navratilova,"(7-5, 7-6)",S. Graf,M. Navratilova,"(6-4, 4-6, 8-6)",M. Navratilova,S. Graf,"(7-6, 6-1)",M. Navratilova,S. Graf,"(7-5, 6-3)",,,,,,
1985,S. Edberg,M. Wilander,"(6-4, 6-3, 6-3)",M. Wilander,I. Lendl,"(3-6, 6-4, 6-2, 6-2)",I. Lendl,J. Mcenroe,"(7-6, 6-3, 6-4)",B. Becker,K. Curren,"(6-3, 6-7, 7-6, 6-4)",M. Navratilova,C. Evert,"(6-2, 4-6, 6-2)",C. Evert,M. Navratilova,"(6-3, 6-7, 7-5)",H. Mandlikova,M. Navratilova,"(7-6, 1-6, 7-6)",M. Navratilova,C. Evert,"(4-6, 6-3, 6-2)",,,,,,
1984,M. Wilander,K. Curren,"(6-7, 6-4, 7-6, 6-2)",I. Lendl,J. Mcenroe,"(3-6, 2-6, 6-4, 7-5, 7-5)",J. Mcenroe,I. Lendl,"(6-3, 6-4, 6-1)",J. Mcenroe,J. Connors,"(6-1, 6-1, 6-2)",C. Evert,H. Sukova,"(6-7, 6-1, 6-3)",M. Navratilova,C. Evert,"(6-3, 6-1)",M. Navratilova,C. Evert,"(4-6, 6-4, 6-4)",M. Navratilova,C. Evert,"(7-6, 6-2)",,,,,,
1983,M. Wilander,I. Lendl,"(6-1, 6-4, 6-4)",Y. Noah,M. Wilander,"(6-2, 7-5, 7-6)",J. Connors,I. Lendl,"(6-3, 6-7, 7-5, 6-0)",J. Mcenroe,C. Lewis,"(6-2, 6-2, 6-2)",M. Navratilova,K. Jordan,"(6-2, 7-6)",C. Evert,M. Jausovec,"(6-1, 6-2)",M. Navratilova,C. Evert,"(6-1, 6-3)",M. Navratilova,A. Jaeger,"(6-0, 6-3)",,,,,,
1982,J. Kriek,S. Denton,"(6-3, 6-3, 6-2)",M. Wilander,G. Vilas,"(1-6, 7-6, 6-0, 6-4)",J. Connors,I. Lendl,"(6-3, 6-2, 4-6, 6-4)",J. Connors,J. Mcenroe,"(3-6, 6-3, 6-7, 7-6, 6-4)",C. Evert,M. Navratilova,"(6-3, 2-6, 6-3)",M. Navratilova,A. Jaeger,"(7-6, 6-1)",C. Evert,H. Mandlikova,"(6-3, 6-1)",M. Navratilova,C. Evert,"(6-1, 3-6, 6-2)",,,,,,
1981,J. Kriek,S. Denton,"(6-2, 7-6, 6-7, 6-4)",B. Borg,I. Lendl,"(6-1, 4-6, 6-2, 3-6, 6-1)",J. Mcenroe,B. Borg,"(4-6, 6-2, 6-4, 6-3)",J. Mcenroe,B. Borg,"(4-6, 7-6, 7-6, 6-4)",M. Navratilova,C. Evert,"(6-7, 6-4, 7-5)",H. Mandlikova,S. Hanika,"(6-2, 6-4)",T. Austin,M. Navratilova,"(1-6, 7-6, 7-6)",C. Evert,H. Mandlikova,"(6-2, 6-2)",,,,,,
1980,B. Teacher,K. Warwick,"(7-5, 7-6, 6-2)",B. Borg,V. Gerulaitis,"(6-4, 6-1, 6-2)",J. Mcenroe,B. Borg,"(7-6, 6-1, 6-7, 7-5, 6-4)",B. Borg,J. Mcenroe,"(1-6, 7-5, 6-3, 6-7, 8-6)",H. Mandlikova,W. Turnbull,"(6-0, 7-5)",C. Evert,V. Ruzici,"(6-0, 6-3)",C. Evert,H. Mandlikova,"(5-7, 6-1, 6-1)",E. Cawley-Goolagong,C. Evert,"(6-1, 7-6)",,,,,,
1979,G. Vilas,J. Sadri,"(7-6, 6-3, 6-2)",B. Borg,V. Pecci,"(6-3, 6-1, 6-7, 6-4)",J. Mcenroe,V. Gerulaitis,"(7-5, 6-3, 6-3)",B. Borg,R. Tanner,"(6-7, 6-1, 3-6, 6-3, 6-4)",B. Jordan,S. Walsh-Pete,"(6-3, 6-3)",C. Evert,W. Turnbull,"(6-2, 6-0)",T. Austin,C. Evert,"(6-4, 6-3)",M. Navratilova,C. Evert,"(6-4, 6-4)",,,,,,
1978,G. Vilas,J. Marks,"(6-4, 6-4, 3-6, 6-3)",B. Borg,G. Vilas,"(6-1, 6-1, 6-3)",J. Connors,B. Borg,"(6-4, 6-2, 6-2)",B. Borg,J. Connors,"(6-2, 6-2, 6-3)",C. O'Neil,B. Nagelsen,"(6-3, 7-6)",V. Ruzici,M. Jausovec,"(6-2, 6-2)",C. Evert,P. Shriver,"(7-5, 6-4)",M. Navratilova,C. Evert,"(2-6, 6-4, 7-5)",,,,,,
1977,J. Lloyd,V. Gerulaitis,"(3-6, 6-7, 7-5, 6-3, 2-6)",G. Vilas,B. Gottfried,"(6-0, 6-3, 6-0)",G. Vilas,J. Connors,"(2-6, 6-3, 7-6, 6-0)",B. Borg,J. Connors,"(3-6, 6-2, 6-1, 5-7, 6-4)",E. Goolagong,H. Gourlay,"(6-3, 6-0)",M. Jausovec,F. Mihai,"(6-2, 6-7, 6-1)",C. Evert,W. Turnbull,"(7-6, 6-2)",V. Wade,B. Stove,"(4-6, 6-3, 6-1)",,,,,,
1976,M. Edmondson,J. Newcombe,"(6-7, 6-3, 7-6, 6-1)",A. Panatta,H. Solomon,"(6-1, 6-4, 4-6, 7-6)",J. Connors,B. Borg,"(6-4, 3-6, 7-6, 6-4)",B. Borg,I. Nastase,"(6-4, 6-2, 9-7)",E. Goolagong,R. Tomanova,"(6-2, 6-2)",S. Barker,R. Tomanova,"(6-2, 0-6, 6-2)",C. Evert,E. Goolagong,"(6-3, 4-6, 8-6)",C. Evert,E. Goolagong,"(6-3, 4-6, 8-6)",,,,,,
1975,J. Newcombe,J. Connors,"(7-5, 3-6, 6-4, 7-6)",B. Borg,G. Vilas,"(6-2, 6-3, 6-4)",M. Orantes,J. Connors,"(6-4, 6-3, 6-3)",A. Ashe,J. Connors,"(6-1, 6-1, 5-7, 6-4)",E. Goolagong,M. Navratilova,"(6-3, 6-2)",C. Evert,M. Navratilova,"(2-6, 6-2, 6-1)",C. Evert,E. Goolagong,"(5-7, 6-4, 6-2)",B. King,E. Goolagong,"(6-0, 6-1)",,,,,,
1974,J. Connors,P. Dent,"(7-6, 6-4, 4-6, 6-3)",B. Borg,M. Orantes,"(2-6, 6-7, 6-0, 6-1, 6-1)",J. Connors,K. Rosewall,"(6-1, 6-0, 6-1)",J. Connors,K. Rosewall,"(6-1, 6-1, 6-4)",E. Goolagong,C. Evert,"(7-6, 4-6, 6-0)",C. Evert,O. Morozova,"(6-1, 6-2)",B. King,E. Goolagong,"(3-6, 6-3, 7-5)",C. Evert,O. Morozova,"(6-0, 6-4)",,,,,,
1973,J. Newcombe,O. Parun,"(6-3, 6-7, 7-5, 6-1)",I. Nastase,N. Pilic,"(6-3, 6-3, 6-0)",J. Newcombe,J. Kodes,"(6-4, 1-6, 4-6, 6-2, 6-3)",J. Kodes,A. Metreveli,"(6-1, 9-8, 6-3)",M. Court-Smith,E. Goolagong,"(6-4, 7-5)",M. Court-Smith,C. Evert,"(6-7, 7-6, 6-4)",M. Court-Smith,E. Goolagong,"(7-6, 5-7, 6-2)",B. King,C. Evert,"(6-0, 7-5)",,,,,,
1972,K. Rosewall,M. Anderson,"(7-6, 6-3, 7-5)",A. Gimeno,P. Proisy,"(4-6, 6-3, 6-1, 6-1)",I. Nastase,A. Ashe,"(3-6, 6-3, 6-7, 6-4, 6-3)",S. Smith,I. Nastase,"(4-6, 6-3, 6-3, 4-6, 7-5)",V. Wade,E. Goolagong,"(6-4, 6-4)",B. King,E. Goolagong,"(6-3, 6-3)",B. King,K. Melville-Reid,"(6-3, 7-5)",B. King,E. Goolagong,"(6-3, 6-3)",,,,,,
1971,K. Rosewall,A. Ashe,"(6-1, 7-5, 6-3)",J. Kodes,I. Nastase,"(8-6, 6-2, 2-6, 7-5)",S. Smith,J. Kodes,"(3-6, 6-3, 6-2, 7-6)",J. Newcombe,S. Smith,"(6-3, 5-7, 2-6, 6-4, 6-4)",M. Court-Smith,E. Goolagong,"(2-6, 7-6, 7-5)",E. Goolagong,H. Gourlay,"(6-3, 7-5)",B. King,R. Casals,"(6-4, 7-6)",,,,,,,,,
1970,A. Ashe,D. Crealy,"(6-4, 9-7, 6-2)",J. Kodes,Z. Franulovic,"(6-2, 6-4, 6-0)",K. Rosewall,T. Roche,"(2-6, 6-4, 7-6, 6-3)",J. Newcombe,K. Rosewall,"(5-7, 6-3, 6-2, 3-6, 6-1)",M. Court-Smith,K. Melville-Reid,"(6-3, 6-1)",M. Court-Smith,H. Masthoff,"(6-2, 6-4)",M. Court-Smith,R. Casals,"(6-2, 2-6, 6-1)",M. Court-Smith,B. King,"(14-12, 11-9)",,,,,,
1969,R. Laver,A. Gimeno,"(6-3, 6-4, 7-5)",R. Laver,K. Rosewall,"(6-4, 6-3, 6-4)",R. Laver,T. Roche,"(7-9, 6-1, 6-2, 6-2)",R. Laver,J. Newcombe,"(6-4, 5-7, 6-4, 6-4)",M. Court-Smith,B. King,"(6-4, 6-1)",M. Court-Smith,A. Haydon-Jones,"(6-1, 4-6, 6-3)",M. Court-Smith,N. Richey,"(6-2, 6-2)",A. Haydon-Jones,B. King,"(3-6, 6-3, 6-2)",,,,,,
1968,B. Bowrey,J. Gisbert Sr,"(7-5, 2-6, 9-7, 6-4)",K. Rosewall,R. Laver,"(6-3, 6-1, 2-6, 6-2)",A. Ashe,T. Okker,"(14-12, 5-7, 6-3, 3-6, 6-3)",R. Laver,T. Roche,"(6-3, 6-4, 6-2)",B. King,M. Court-Smith,"(6-1, 6-2)",N. Richey,A. Haydon-Jones,"(5-7, 6-4, 6-1)",V. Wade,B. King,"(6-4, 6-2)",B. King,J. Tegart,"(9-7, 7-5)",,,,,,
1967,R. Emerson,A. Ashe,"(6-4, 6-1, 6-4)",R. Emerson,T. Roche,"(6-1, 6-4, 2-6, 6-2)",J. Newcombe,C. Graebner,"(6-4, 6-4, 8-6)",J. Newcombe,W. Bungert,"(6-3, 6-1, 6-1)",N. Richey,L. Turner,"(6-1, 6-4)",F. Durr,L. Turner,"(4-6, 6-3, 6-4)",B. King,A. Haydon-Jones,"(11-9, 6-4)",B. King,A. Haydon-Jones,"(6-3, 6-4)",,,,,,
1966,R. Emerson,A. Ashe,"(6-4, 6-8, 6-2, 6-3)",T. Roche,I. Gulyas,"(6-1, 6-4, 7-5)",F. Stolle,J. Newcombe,"(6-4, 10-12, 3-6, 4-6)",M. Santana,D. Ralston,"(6-4, 11-9, 6-4)",M. Court-Smith,N. Richey,(),A. Haydon-Jones,N. Richey,"(6-3, 6-1)",M. Bueno,N. Richey,"(6-3, 6-1)",,,,,,,,,
1965,R. Emerson,F. Stolle,"(7-9, 2-6, 6-4, 7-5, 6-1)",F. Stolle,T. Roche,"(3-6, 6-0, 6-2, 6-3)",M. Santana,C. Drysdale,"(6-2, 7-9, 7-5, 6-1)",R. Emerson,F. Stolle,"(6-2, 6-4, 6-4)",M. Court-Smith,M. Bueno,"(5-7, 6-4, 5-2)",L. Turner,M. Court-Smith,"(6-3, 6-4)",M. Court-Smith,B. King,"(8-6, 7-5)",,,,,,,,,
1964,R. Emerson,F. Stolle,"(6-3, 6-4, 6-2)",M. Santana,N. Pietrangeli,"(6-3, 6-1, 4-6, 7-5)",R. Emerson,F. Stolle,"(6-4, 6-1, 6-4)",R. Emerson,F. Stolle,"(6-4, 12-10, 4-6, 6-3)",M. Court-Smith,L. Turner,"(6-3, 6-2)",M. Court-Smith,M. Bueno,"(5-7, 6-1, 6-2)",M. Bueno,C. Caldwell-Graebner,"(1-6, 0-6)",,,,,,,,,
1963,R. Emerson,K. Fletcher,"(6-3, 6-3, 6-1)",R. Emerson,P. Darmon,"(3-6, 6-1, 6-4, 6-4)",R. Osuna,F. Froehling,"(7-5, 6-4, 6-2)",C. Mckinley,F. Stolle,"(9-7, 6-1, 6-4)",M. Court-Smith,J. Lehane-O'Neill,"(6-2, 6-2)",L. Turner,A. Haydon-Jones,"(2-6, 6-3, 7-5)",M. Bueno,M. Court-Smith,"(5-7, 4-6)",,,,,,,,,
1962,R. Laver,R. Emerson,"(8-6, 0-6, 6-4, 6-4)",R. Laver,R. Emerson,"(3-6, 2-6, 6-3, 9-7, 6-2)",R. Laver,R. Emerson,"(6-2, 6-4, 5-7, 6-4)",R. Laver,M. Mulligan,"(6-2, 6-2, 6-1)",M. Court-Smith,J. Lehane-O'Neill,"(6-0, 6-2)",M. Court-Smith,L. Turner,"(6-2, 3-6, 7-5)",M. Court-Smith,D. Hard,"(9-7, 6-4)",,,,,,,,,
1961,R. Emerson,R. Laver,"(1-6, 6-3, 7-5, 6-4)",M. Santana,N. Pietrangeli,"(4-6, 6-1, 3-6, 6-0, 6-2)",R. Emerson,R. Laver,"(5-7, 3-6, 2-6)",R. Laver,C. Mckinley,"(6-3, 6-1, 6-4)",M. Court-Smith,J. Lehane-O'Neill,"(6-1, 6-4)",A. Haydon-Jones,Y. Ramirez,"(6-2, 6-1)",D. Hard,A. Haydon-Jones,"(6-3, 6-4)",,,,,,,,,
1960,R. Laver,N. Fraser,"(5-7, 3-6, 6-3, 8-6, 8-6)",N. Pietrangeli,L. Ayala,"(3-6, 6-3, 6-4, 4-6, 6-3)",N. Fraser,R. Laver,"(6-4, 6-4, 10-8)",N. Fraser,R. Laver,"(6-4, 3-6, 9-7, 7-5)",M. Court-Smith,J. Lehane-O'Neill,"(7-5, 6-2)",D. Hard,Y. Ramirez,"(6-3, 6-4)",D. Hard,M. Bueno,"(4-6, 12-10, 4-6)",,,,,,,,,
1959,A. Olmedo,N. Fraser,"(6-1, 6-2, 3-6, 6-3)",N. Pietrangeli,I. Vermaak,"(3-6, 6-3, 6-4, 6-1)",N. Fraser,A. Olmedo,"(3-6, 7-5, 2-6, 4-6)",A. Olmedo,R. Laver,"(6-4, 6-3, 6-4)",M. Carter-Reitano,R. Schuurman,"(6-2, 6-3)",C. Truman,Z. Kormoczy,"(6-4, 7-5)",M. Bueno,C. Truman,"(1-6, 4-6)",,,,,,,,,
1958,A. Cooper,M. Anderson,"(7-5, 6-3, 6-4)",M. Rose,L. Ayala,"(6-3, 6-4, 6-4)",A. Cooper,J. Anderson,"(2-6, 6-3, 6-4, 8-10, 6-8)",A. Cooper,N. Fraser,"(3-6, 6-3, 6-4, 13-11)",A. Mortimer,L. Coghlan,"(6-3, 6-4)",Z. Kormoczy,S. Bloomer-Brasher,"(6-4, 1-6, 6-2)",A. Gibson,D. Hard,"(3-6, 6-1, 6-2)",,,,,,,,,
1957,A. Cooper,N. Fraser,"(6-3, 9-11, 6-4, 6-2)",S. Davidson,H. Flam,"(6-3, 6-4, 6-4)",M. Anderson,A. Cooper,"(8-10, 5-7, 4-6)",L. Hoad,A. Cooper,"(6-2, 6-1, 6-2)",S. Fry,A. Gibson,"(6-3, 6-4)",S. Bloomer-Brasher,D. Head-Knode,"(6-1, 6-3)",A. Gibson,L. Brough,"(6-3, 6-2)",,,,,,,,,
1956,L. Hoad,K. Rosewall,"(6-4, 3-6, 6-4, 7-5)",L. Hoad,S. Davidson,"(6-4, 8-6, 6-3)",K. Rosewall,L. Hoad,"(6-4, 2-6, 3-6, 3-6)",L. Hoad,K. Rosewall,"(6-2, 4-6, 7-5, 6-4)",M. Carter-Reitano,T. Coyne-Long,"(3-6, 6-2, 9-7)",A. Gibson,A. Mortimer,"(6-0, 12-10)",S. Fry,A. Gibson,"(6-3, 6-4)",,,,,,,,,
1955,K. Rosewall,L. Hoad,"(9-7, 6-4, 6-4)",T. Trabert,S. Davidson,"(2-6, 6-1, 6-4, 6-2)",T. Trabert,K. Rosewall,"(9-7, 6-3, 6-3)",T. Trabert,K. Nielsen,"(6-3, 7-5, 6-1)",B. Penrose,T. Coyne-Long,"(6-4, 6-3)",A. Mortimer,D. Head-Knode,"(2-6, 7-5, 10-8)",D. Hart,P. Ward,"(6-4, 6-2)",,,,,,,,,
1954,M. Rose,R. Hartwig,"(6-2, 0-6, 6-4, 6-2)",T. Trabert,A. Larsen,"(6-4, 7-5, 6-1)",V. Seixas,R. Hartwig,"(6-3, 2-6, 4-6, 4-6)",J. Drobny,K. Rosewall,"(13-11, 4-6, 6-2, 9-7)",T. Coyne-Long,J. Staley,"(6-3, 6-4)",M. Connolly,G. Bucaille,"(6-4, 6-1)",D. Hart,L. Brough,"(6-8, 6-1, 8-6)",,,,,,,,,
1953,K. Rosewall,M. Rose,"(6-0, 6-3, 6-4)",K. Rosewall,V. Seixas,"(6-3, 6-4, 1-6, 6-2)",T. Trabert,V. Seixas,"(3-6, 2-6, 3-6)",V. Seixas,K. Nielsen,"(9-7, 6-3, 6-4)",M. Connolly,J. Sampson,"(6-3, 6-2)",M. Connolly,D. Hart,"(6-2, 6-4)",M. Connolly,D. Hart,"(6-2, 6-4)",,,,,,,,,
1952,K. Mcgregor,F. Sedgman,"(7-5, 12-10, 2-6, 6-2)",J. Drobny,F. Sedgman,"(6-2, 6-0, 3-6, 6-4)",F. Sedgman,G. Mulloy,"(6-1, 6-2, 6-3)",F. Sedgman,J. Drobny,"(4-6, 6-2, 6-3, 6-2)",T. Coyne-Long,H. Angwin,"(6-2, 6-3)",D. Hart,S. Fry,"(6-4, 6-4)",M. Connolly,D. Hart,"(6-3, 7-5)",,,,,,,,,
1951,R. Savitt,K. Mcgregor,"(6-3, 2-6, 6-3, 6-1)",J. Drobny,E. Sturgess,"(6-3, 6-3, 6-3)",F. Sedgman,V. Seixas,"(6-4, 6-1, 6-1)",R. Savitt,K. Mcgregor,"(6-4, 6-4, 6-4)",N. Wynne Bolton,T. Coyne-Long,"(6-1, 7-5)",S. Fry,D. Hart,"(6-3, 3-6, 6-3)",M. Connolly,S. Fry,"(6-3, 1-6, 6-4)",D. Hart,S. Fry,"(6-1, 6-0)",,,,,,
1950,F. Sedgman,K. Mcgregor,"(6-3, 6-4, 4-6, 6-1)",B. Patty,J. Drobny,"(6-1, 6-2, 3-6, 5-7, 7-5)",A. Larsen,H. Flam,"(6-3, 4-6, 5-7, 6-4, 6-3)",B. Patty,F. Sedgman,"(6-1, 8-10, 6-2, 6-3)",L. Brough,D. Hart,"(6-4, 3-6, 6-4)",D. Hart,P. Canning Todd,"(6-4, 4-6, 6-2)",M. Osborne Dupont,D. Hart,"(6-3, 6-3)",L. Brough,M. Osborne Dupont,"(6-1, 3-6, 6-1)",,,,,,
1949,F. Sedgman,J. Bromwich,"(6-3, 6-2, 6-2)",F. Parker,B. Patty,"(6-3, 1-6, 6-1, 6-4)",P. Gonzales,T. Schroeder,"(16-18, 2-6, 6-1, 6-2, 6-4)",T. Schroeder,J. Drobny,"(3-6, 6-0, 6-3, 4-6, 6-4)",D. Hart,N. Wynne Bolton,"(6-3, 6-4)",M. Osborne Dupont,N. Adamson-Landry,"(7-5, 6-2)",M. Osborne Dupont,D. Hart,"(6-4, 6-1)",L. Brough,M. Osborne Dupont,"(10-8, 1-6, 10-8)",,,,,,
1948,A. Quist,J. Bromwich,"(6-4, 3-6, 6-3, 2-6, 6-3)",F. Parker,J. Drobny,"(6-4, 7-5, 5-7, 8-6)",P. Gonzales,E. Sturgess,"(6-2, 6-3, 14-12)",R. Falkenburg,J. Bromwich,"(7-5, 0-6, 6-2, 3-6, 7-5)",N. Wynne Bolton,M. Toomey,"(6-3, 6-1)",N. Adamson-Landry,S. Fry,"(6-2, 0-6, 6-0)",M. Osborne Dupont,L. Brough,"(4-6, 6-4, 15-13)",L. Brough,D. Hart,"(6-3, 8-6)",,,,,,
1947,D. Pails,J. Bromwich,"(4-6, 6-4, 3-6, 7-5, 8-6)",J. Asboth,E. Sturgess,"(8-6, 7-5, 6-4)",J. Kramer,F. Parker,"(4-6, 2-6, 6-1, 6-0, 6-3)",J. Kramer,T. Brown,"(6-1, 6-3, 6-2)",N. Wynne Bolton,N. Hopman,"(6-3, 6-2)",P. Canning Todd,D. Hart,"(6-3, 3-6, 6-4)",L. Brough,M. Osborne Dupont,"(8-6, 4-6, 6-1)",M. Osborne Dupont,D. Hart,"(6-2, 6-4)",,,,,,
1946,J. Bromwich,D. Pails,"(5-7, 6-3, 7-5, 3-6, 6-2)",M. Bernard,J. Drobny,"(3-6, 2-6, 6-1, 6-4, 6-3)",J. Kramer,T. Brown,"(9-7, 6-3, 6-0)",Y. Petra,G. Brown,"(6-2, 6-4, 7-9, 5-7, 6-4)",N. Wynne Bolton,J. Fitch,"(6-4, 6-4)",M. Osborne Dupont,P. Betz,(),P. Betz,D. Hart,"(11-9, 6-3)",P. Betz,L. Brough,"(6-2, 6-4)",,,,,,
1940,A. Quist,J. Crawford,"(6-3, 6-1, 6-2)",,,,W. Mcneill,B. Riggs,"(4-6, 6-8, 6-3, 6-3, 7-5)",,,,N. Wynne Bolton,T. Coyne-Long,"(5-7, 6-4, 6-0)",,,,A. Marble,H. Jacobs,"(6-2, 6-3)",,,,,,,,,
1939,J. Bromwich,A. Quist,"(6-4, 6-1, 6-2)",W. Mcneill,B. Riggs,"(7-5, 6-0, 6-3)",B. Riggs,W. Van Horn,"(6-4, 6-2, 6-4)",B. Riggs,E. Cooke,"(2-6, 8-6, 3-6, 6-3, 6-2)",E. Westacott,N. Hopman,"(6-1, 6-2)",S. Mathieu,J. Jedrzejowska,"(6-3, 8-6)",A. Marble,H. Jacobs,"(6-0, 8-10, 6-4)",A. Marble,K. Stammers,"(6-2, 6-0)",,,,,,
1938,D. Budge,J. Bromwich,"(6-4, 6-2, 6-1)",D. Budge,R. Menzel,"(6-3, 6-2, 6-4)",D. Budge,G. Mako,"(6-3, 6-8, 6-2, 6-1)",D. Budge,B. Austin,"(6-1, 6-0, 6-3)",D. Bundy,D. Stevenson,"(6-3, 6-2)",S. Mathieu,N. Adamson-Landry,"(6-0, 6-3)",A. Marble,N. Wynne Bolton,"(6-0, 6-3)",H. Wills-Moody,H. Jacobs,"(6-4, 6-0)",,,,,,
