Year,Winner_Open_Australie_men,Runner-Up_Open_Australie_men,Score_Open_Australie_men,Winner_Rolland_Garros_men,Runner-Up_Rolland_Garros_men,Score_Rolland_Garros_men,Winner_US_Open_men,Runner-Up_US_Open_men,Score_US_Open_men,Winner_Wimbledon_men,Runner-Up_Wimbledon_men,Score_Wimbledon_men,Winner_Open_Australie_women,Runner-Up_Open_Australie_women,Score_Open_Australie_women,Winner_Rolland_Garros_women,Runner-Up_Rolland_Garros_women,Score_Rolland_Garros_women,Winner_US_Open_women,Runner-Up_US_Open_women,Score_US_Open_women,Winner_Wimbledon_women,Runner-Up_Wimbledon_women,Score_Wimbledon_women,1st_place_atp,2nd_place_atp,3rd_place_atp,1st_place_wta,2nd_place_wta,3rd_place_wta
1937,V. Mcgrath,J. Bromwich,"(6-3, 1-6, 6-0, 2-6, 6-1)",H. Henkel,B. Austin,"(6-1, 6-4, 6-3)",D. Budge,G. Von Cramm,"(6-1, 7-9, 6-1, 3-6, 6-1)",D. Budge,G. Von Cramm,"(6-3, 6-4, 6-2)",N. Wynne Bolton,E. Westacott,"(6-3, 5-7, 6-4)",H. Sperling,S. Mathieu,"(6-2, 6-4)",A. Lizana,J. Jedrzejowska,"(6-4, 6-2)",D. Round,J. Jedrzejowska,"(2-6, 6-2, 7-5)",,,,,,
1936,A. Quist,J. Crawford,"(6-2, 6-3, 4-6, 3-6, 9-7)",G. Von Cramm,F. Perry,"(6-0, 2-6, 6-2, 2-6, 6-0)",F. Perry,D. Budge,"(2-6, 6-2, 8-6, 1-6, 10-8)",F. Perry,G. Von Cramm,"(6-1, 6-1, 6-0)",J. Hartigan,N. Wynne Bolton,"(6-4, 6-4)",H. Sperling,S. Mathieu,"(6-3, 6-4)",A. Marble,H. Jacobs,"(4-6, 6-3, 6-2)",H. Jacobs,H. Sperling,"(6-2, 4-6, 7-5)",,,,,,
1935,J. Crawford,F. Perry,"(2-6, 6-4, 6-4, 6-4)",F. Perry,G. Von Cramm,"(6-3, 3-6, 6-1, 6-3)",W. Allison,S. Wood,"(6-2, 6-2, 6-3)",F. Perry,G. Von Cramm,"(6-2, 6-4, 6-4)",D. Round,N. Lyle Glover,"(1-6, 6-1, 6-3)",H. Sperling,S. Mathieu,"(6-2, 6-1)",H. Jacobs,S. Palfrey-Cooke,"(6-2, 6-4)",H. Wills-Moody,H. Jacobs,"(6-3, 3-6, 7-5)",,,,,,
1934,F. Perry,J. Crawford,"(6-3, 7-5, 6-1)",G. Von Cramm,J. Crawford,"(6-4, 7-9, 3-6, 7-5, 6-3)",F. Perry,W. Allison,"(6-4, 6-3, 3-6, 1-6, 8-6)",F. Perry,J. Crawford,"(6-3, 6-0, 7-5)",J. Hartigan,M. Molesworth,"(6-1, 6-4)",M. Scriven,H. Jacobs,"(7-5, 4-6, 6-1)",H. Jacobs,S. Palfrey-Cooke,"(6-1, 6-4)",D. Round,H. Jacobs,"(6-2, 5-7, 6-3)",,,,,,
1933,J. Crawford,K. Gledhill,"(2-6, 7-5, 6-3, 6-2)",J. Crawford,H. Cochet,"(8-6, 6-1, 6-3)",F. Perry,J. Crawford,"(6-3, 11-13, 4-6, 6-0, 6-1)",J. Crawford,H. Vines,"(4-6, 11-9, 6-2, 2-6, 6-4)",J. Hartigan,C. Buttsworth,"(6-4, 6-3)",M. Scriven,S. Mathieu,"(6-2, 4-6, 6-4)",H. Jacobs,H. Wills-Moody,"(8-6, 3-6, 3-0)",H. Wills-Moody,D. Round,"(6-4, 6-8, 6-3)",,,,,,
1932,J. Crawford,H. Hopman,"(4-6, 6-3, 3-6, 6-3, 6-1)",H. Cochet,G. De Stefani,"(6-0, 6-4, 4-6, 6-3)",H. Vines,H. Cochet,"(6-4, 6-4, 6-4)",H. Vines,B. Austin,"(6-4, 6-2, 6-0)",C. Buttsworth,K. Le Messurier,"(9-7, 6-4)",H. Wills-Moody,S. Mathieu,"(7-5, 6-1)",H. Jacobs,C. Babcock,"(6-2, 6-2)",H. Wills-Moody,H. Jacobs,"(6-3, 6-1)",,,,,,
1931,J. Crawford,H. Hopman,"(6-4, 6-2, 2-6, 6-1)",J. Borotra,C. Boussus,"(2-6, 6-4, 7-5, 6-4)",H. Vines,G. Lott,"(7-9, 6-3, 9-7, 7-5)",S. Wood,F. Shields,(),C. Buttsworth,M. Cox Crawford,"(1-6, 6-3, 6-4)",C. Aussem,B. Nuthall,"(8-6, 6-1)",H. Wills-Moody,E. Bennett Whitingstall,"(6-4, 6-1)",C. Aussem,H. Sperling,"(6-2, 7-5)",,,,,,
1930,E. Moon,H. Hopman,"(6-3, 6-1, 6-3)",H. Cochet,B. Tilden,"(3-6, 8-6, 6-3, 6-1)",J. Doeg,F. Shields,"(10-8, 1-6, 6-4, 16-14)",B. Tilden,W. Allison,"(6-3, 9-7, 6-4)",D. Akhurst,S. Harper,"(10-8, 2-6, 7-5)",H. Wills-Moody,H. Jacobs,"(6-2, 6-1)",B. Nuthall,A. Mccune Harper,"(6-1, 6-4)",H. Wills-Moody,E. Ryan,"(6-2, 6-2)",,,,,,
1929,C. Gregory,R. Schlesinger,"(6-2, 6-2, 5-7, 6-4)",R. Lacoste,J. Borotra,"(6-3, 2-6, 6-0, 2-6, 8-6)",B. Tilden,F. Hunter,"(3-6, 6-3, 4-6, 6-2, 6-4)",H. Cochet,J. Borotra,"(6-4, 6-3, 6-4)",D. Akhurst,L. Bickerton,"(6-1, 5-7, 6-2)",H. Wills-Moody,S. Mathieu,"(6-3, 6-4)",H. Wills-Moody,P. Holcroft Watson,"(6-4, 6-2)",H. Wills-Moody,H. Jacobs,"(6-1, 6-2)",,,,,,
1928,J. Borotra,J. Cummings,"(6-4, 6-1, 4-6, 5-7, 6-3)",H. Cochet,R. Lacoste,"(5-7, 6-3, 6-1, 6-3)",H. Cochet,F. Hunter,"(4-6, 6-4, 3-6, 7-5, 6-3)",R. Lacoste,H. Cochet,"(6-1, 4-6, 6-4, 6-2)",D. Akhurst,E. Boyd,"(7-5, 6-2)",H. Wills-Moody,E. Bennett Whitingstall,"(6-1, 6-2)",H. Wills-Moody,H. Jacobs,"(6-2, 6-1)",H. Wills-Moody,L. Alvarez,"(6-2, 6-3)",,,,,,
1927,G. Patterson,J. Hawkes,"(3-6, 6-4, 3-6, 18-16, 6-3)",R. Lacoste,B. Tilden,"(6-4, 4-6, 5-7, 6-3, 11-9)",R. Lacoste,B. Tilden,"(11-9, 6-3, 11-9)",H. Cochet,J. Borotra,"(4-6, 4-6, 6-3, 6-4, 7-5)",E. Boyd,S. Harper,"(5-7, 6-1, 6-2)",K. Bouman,I. Peacock,"(6-2, 6-4)",H. Wills-Moody,B. Nuthall,"(6-1, 6-4)",H. Wills-Moody,L. Alvarez,"(6-2, 6-4)",,,,,,
1926,J. Hawkes,J. Willard,"(6-1, 6-3, 6-1)",H. Cochet,R. Lacoste,"(6-2, 6-4, 6-3)",R. Lacoste,J. Borotra,"(6-4, 6-0, 6-4)",J. Borotra,H. Kinsey,"(8-6, 6-1, 6-3)",D. Akhurst,E. Boyd,"(6-1, 6-3)",S. Lenglen,M. Browne,"(6-1, 6-0)",M. Bjurstedt Mallory,E. Ryan,"(4-6, 6-4, 9-7)",K. Mckane Godfree,L. Alvarez,"(6-2, 4-6, 6-3)",,,,,,
1925,J. Anderson,G. Patterson,"(11-9, 2-6, 6-2, 6-3)",R. Lacoste,J. Borotra,"(7-5, 6-1, 6-4)",B. Tilden,B. Johnston,"(4-6, 11-9, 6-3, 4-6, 6-3)",R. Lacoste,J. Borotra,"(6-3, 6-3, 4-6, 8-6)",D. Akhurst,E. Boyd,"(1-6, 8-6, 6-4)",S. Lenglen,K. Mckane Godfree,"(6-1, 6-2)",H. Wills-Moody,K. Mckane Godfree,"(3-6, 6-0, 6-2)",S. Lenglen,J. Fry,"(6-2, 6-0)",,,,,,
1924,J. Anderson,R. Schlesinger,"(6-3, 6-4, 3-6, 5-7, 6-3)",,,,B. Tilden,B. Johnston,"(6-1, 9-7, 6-2)",J. Borotra,R. Lacoste,"(6-1, 3-6, 6-1, 3-6, 6-4)",S. Harper,E. Boyd,"(6-3, 3-6, 6-4)",,,,H. Wills-Moody,M. Bjurstedt Mallory,"(6-1, 6-3)",K. Mckane Godfree,H. Wills-Moody,"(4-6, 6-4, 6-4)",,,,,,
1923,P. O'Hara Wood,C. St John,"(6-1, 6-1, 6-3)",,,,B. Tilden,B. Johnston,"(6-4, 6-1, 6-4)",B. Johnston,F. Hunter,"(6-0, 6-3, 6-1)",M. Molesworth,E. Boyd,"(6-1, 7-5)",,,,H. Wills-Moody,M. Bjurstedt Mallory,"(6-2, 6-1)",S. Lenglen,K. Mckane Godfree,"(6-2, 6-2)",,,,,,
1922,J. Anderson,G. Patterson,"(6-0, 3-6, 3-6, 6-3, 6-2)",,,,B. Tilden,B. Johnston,"(4-6, 3-6, 6-2, 6-3, 6-4)",G. Patterson,R. Lycett,"(6-3, 6-4, 6-2)",M. Molesworth,E. Boyd,"(6-3, 10-8)",,,,M. Bjurstedt Mallory,H. Wills-Moody,"(6-3, 6-1)",S. Lenglen,M. Bjurstedt Mallory,"(6-2, 6-0)",,,,,,
1921,R. Gemmell,A. Hedemann,"(7-5, 6-1, 6-4)",,,,B. Tilden,W. Johnson,"(6-1, 6-3, 6-1)",B. Tilden,B. Norton,"(4-6, 2-6, 6-1, 6-0, 7-5)",,,,,,,M. Bjurstedt Mallory,M. Browne,"(4-6, 6-4, 6-2)",S. Lenglen,E. Ryan,"(6-2, 6-0)",,,,,,
1920,P. O'Hara Wood,R. Thomas,"(6-3, 4-6, 6-8, 6-1, 6-3)",,,,B. Tilden,B. Johnston,"(6-1, 1-6, 7-5, 5-7, 6-3)",B. Tilden,G. Patterson,"(2-6, 6-3, 6-2, 6-4)",,,,,,,M. Bjurstedt Mallory,M. Zinderstein Jessup,"(6-3, 6-1)",S. Lenglen,D. Lambert-Chambers,"(6-3, 6-0)",,,,,,
1919,A. Kingscote,E. Pockley,"(6-4, 6-0, 6-3)",,,,B. Johnston,B. Tilden,"(6-4, 6-4, 6-3)",G. Patterson,N. Brookes,"(6-3, 7-5, 6-2)",,,,,,,H. Hotchkiss-Wightman,M. Zinderstein Jessup,"(6-1, 6-2)",S. Lenglen,D. Lambert-Chambers,"(10-8, 4-6, 9-7)",,,,,,
1915,G. Lowe,H. Rice,"(4-6, 6-1, 6-1, 6-4)",,,,B. Johnston,M. Mcloughlin,"(1-6, 6-0, 7-5, 10-8)",,,,,,,,,,M. Bjurstedt Mallory,H. Hotchkiss-Wightman,"(4-6, 6-2, 6-0)",,,,,,,,,
1914,A. O'Hara Wood,G. Patterson,"(6-4, 6-3, 5-7, 6-1)",,,,R. Williams,M. Mcloughlin,"(6-3, 8-6, 10-8)",N. Brookes,T. Wilding,"(6-4, 6-4, 7-5)",,,,,,,M. Browne,M. Wagner,"(6-2, 1-6, 6-1)",E. Larcombe,D. Lambert-Chambers,"(6-3, 6-2)",,,,,,
1913,E. Parker,H. Parker,"(2-6, 6-1, 6-3, 6-2)",,,,M. Mcloughlin,R. Williams,"(6-4, 5-7, 6-3, 6-1)",T. Wilding,M. Mcloughlin,"(8-6, 6-3, 10-8)",,,,,,,M. Browne,D. Green,"(6-2, 7-5)",D. Lambert-Chambers,W. Mcnair,"(6-0, 6-4)",,,,,,
1912,J. Parke,A. Beamish,"(3-6, 6-3, 1-6, 6-1, 7-5)",,,,M. Mcloughlin,W. Johnson,"(3-6, 2-6, 6-2, 6-4, 6-2)",T. Wilding,A. Gore,"(6-4, 6-4, 4-6, 6-4)",,,,,,,M. Browne,E. Sears,"(6-4, 6-2)",E. Larcombe,C. Sterry,"(6-3, 6-1)",,,,,,
1911,N. Brookes,H. Rice,"(6-1, 6-2, 6-3)",,,,W. Larned,M. Mcloughlin,"(6-4, 6-4, 6-2)",T. Wilding,H. Roper-Barrett,"(6-4, 4-6, 2-6, 6-2)",,,,,,,H. Hotchkiss-Wightman,F. Sutton,"(8-10, 6-1, 9-7)",D. Lambert-Chambers,P. Boothby,"(6-0, 6-0)",,,,,,
1910,R. Heath,H. Rice,"(6-4, 6-3, 6-2)",,,,W. Larned,T. Bundy,"(6-1, 5-7, 6-0, 6-8, 6-1)",T. Wilding,A. Gore,"(6-4, 7-5, 4-6, 6-2)",,,,,,,H. Hotchkiss-Wightman,L. Hammond,"(6-4, 6-2)",D. Lambert-Chambers,P. Boothby,"(6-2, 6-2)",,,,,,
1909,T. Wilding,E. Parker,"(6-1, 7-5, 6-2)",,,,W. Larned,W. Clothier,"(6-1, 6-2, 5-7, 1-6, 6-1)",A. Gore,J. Ritchie,"(6-8, 1-6, 6-2, 6-2, 6-2)",,,,,,,H. Hotchkiss-Wightman,M. Barger-Wallach,"(6-0, 6-1)",P. Boothby,A. Morton,"(6-4, 4-6, 8-6)",,,,,,
1908,F. Alexander,A. Dunlop,"(3-6, 3-6, 6-0, 6-2, 6-3)",,,,W. Larned,B. Wright,"(6-1, 6-2, 8-6)",A. Gore,H. Barrett,"(6-3, 6-2, 4-6, 3-6, 6-4)",,,,,,,M. Barger-Wallach,E. Sears,"(6-3, 1-6, 6-3)",C. Sterry,A. Morton,"(6-4, 6-4)",,,,,,
1907,H. Rice,H. Parker,"(6-3, 6-4, 6-4)",,,,W. Larned,R. Leroy,"(6-2, 6-2, 6-4)",N. Brookes,A. Gore,"(6-4, 6-2, 6-2)",,,,,,,E. Sears,C. Neely,"(6-3, 6-2)",M. Sutton,C. Wilson,"(6-4, 6-2)",,,,,,
1906,T. Wilding,F. Fisher,"(6-0, 6-4, 6-4)",,,,W. Clothier,B. Wright,"(6-3, 6-0, 6-4)",H. Doherty,F. Riseley,"(6-4, 4-6, 6-2, 6-3)",,,,,,,H. Homans,M. Barger-Wallach,"(6-4, 6-3)",D. Douglass Lambert Chambers,M. Sutton,"(6-3, 9-7)",,,,,,
1905,R. Heath,A. Curtis,"(4-6, 6-3, 6-4, 6-4)",,,,B. Wright,H. Ward,"(6-2, 6-1, 11-9)",H. Doherty,N. Brookes,"(8-6, 6-2, 6-4)",,,,,,,E. Moore,H. Homans,"(6-4, 5-7, 6-1)",M. Sutton,D. Douglass Lambert Chambers,"(6-3, 6-4)",,,,,,
1986,,,,I. Lendl,M. Pernfors,"(6-3, 6-2, 6-4)",I. Lendl,M. Mecir Sr.,"(6-4, 6-2, 6-0)",B. Becker,I. Lendl,"(6-4, 6-3, 7-5)",,,,C. Evert,M. Navratilova,"(2-6, 6-3, 6-3)",M. Navratilova,H. Sukova,"(6-3, 6-2)",M. Navratilova,H. Mandlikova,"(7-6, 6-3)",I. Lendl,M. Wilander,B. Becker,,,
1945,,,,,,,F. Parker,B. Talbert,"(14-12, 6-1, 6-2)",,,,,,,,,,S. Palfrey-Cooke,P. Betz,"(3-6, 8-6, 6-4)",,,,,,,,,
1944,,,,,,,F. Parker,B. Talbert,"(6-4, 3-6, 6-3, 6-3)",,,,,,,,,,P. Betz,M. Osborne Dupont,"(6-3, 8-6)",,,,,,,,,
1943,,,,,,,J. Hunt,J. Kramer,"(6-3, 6-8, 10-8, 6-0)",,,,,,,,,,P. Betz,L. Brough,"(6-3, 5-7, 6-3)",,,,,,,,,
1942,,,,,,,T. Schroeder,F. Parker,"(8-6, 7-5, 3-6, 4-6, 6-2)",,,,,,,,,,P. Betz,L. Brough,"(4-6, 6-4, 6-1)",,,,,,,,,
1941,,,,,,,B. Riggs,F. Kovacs,"(5-7, 6-1, 6-3, 6-3)",,,,,,,,,,S. Palfrey-Cooke,P. Betz,"(7-5, 6-2)",,,,,,,,,
1918,,,,,,,R. Murray,B. Tilden,"(6-3, 6-1, 7-5)",,,,,,,,,,M. Bjurstedt Mallory,E. Goss,"(6-4, 6-3)",,,,,,,,,
1917,,,,,,,R. Murray,N. Niles,"(5-7, 8-6, 6-3, 6-3)",,,,,,,,,,M. Bjurstedt Mallory,M. Vanderhoef,"(4-6, 6-0, 6-2)",,,,,,,,,
1916,,,,,,,R. Williams,B. Johnston,"(4-6, 6-4, 0-6, 6-2, 6-4)",,,,,,,,,,M. Bjurstedt Mallory,L. Hammond,"(6-0, 6-1)",,,,,,,,,
1904,,,,,,,H. Ward,W. Clothier,"(10-8, 6-4, 9-7)",H. Doherty,F. Riseley,"(6-1, 7-5, 8-6)",,,,,,,M. Sutton,E. Moore,"(6-1, 6-2)",D. Douglass Lambert Chambers,C. Sterry,"(6-0, 6-3)",,,,,,
1903,,,,,,,H. Doherty,W. Larned,"(6-0, 6-3, 10-8)",H. Doherty,F. Riseley,"(7-5, 6-3, 6-0)",,,,,,,E. Moore,M. Jones,"(7-5, 8-6)",D. Douglass Lambert Chambers,E. Larcombe,"(4-6, 6-4, 6-2)",,,,,,
1902,,,,,,,W. Larned,R. Doherty,"(6-4, 2-6, 6-4, 8-6)",H. Doherty,A. Gore,"(6-4, 6-3, 3-6, 6-0)",,,,,,,M. Jones,E. Moore,"(6-1, 1-0)",M. Robb,C. Sterry,"(7-5, 6-1)",,,,,,
1901,,,,,,,W. Larned,B. Wright,"(6-2, 6-8, 6-4, 6-4)",A. Gore,R. Doherty,"(4-6, 7-5, 6-4, 6-4)",,,,,,,E. Moore,M. Mcateer,"(6-4, 3-6, 7-5, 2-6, 6-2)",C. Sterry,B. Bingley-Hillyard,"(6-2, 6-2)",,,,,,
1900,,,,,,,M. Whitman,W. Larned,"(6-4, 1-6, 6-2, 6-2)",R. Doherty,S. Smith,"(6-8, 6-3, 6-1, 6-2)",,,,,,,M. Mcateer,E. Parker,"(6-2, 6-2, 6-0)",B. Bingley-Hillyard,C. Cooper-Sterry,"(6-2, 6-2)",,,,,,
1899,,,,,,,M. Whitman,J. Paret,"(6-1, 6-2, 3-6, 7-5)",R. Doherty,A. Gore,"(1-6, 4-6, 6-3, 6-3, 6-3)",,,,,,,M. Jones,M. Banks,"(6-1, 6-1, 7-5)",B. Bingley-Hillyard,C. Cooper-Sterry,"(6-2, 6-3)",,,,,,
1898,,,,,,,M. Whitman,D. Davis,"(3-6, 6-2, 6-2, 6-1)",R. Doherty,H. Doherty,"(6-3, 6-3, 2-6, 5-7, 6-1)",,,,,,,J. Atkinson,M. Jones,"(6-3, 5-7, 6-4, 2-6, 7-5)",C. Cooper-Sterry,M. Martin,"(6-4, 6-4)",,,,,,
1897,,,,,,,R. Wrenn,W. Eaves,"(4-6, 8-6, 6-3, 2-6, 6-2)",R. Doherty,H. Mahony,"(6-4, 6-4, 6-3)",,,,,,,J. Atkinson,E. Moore,"(6-3, 6-3, 4-6, 3-6, 6-3)",B. Bingley-Hillyard,C. Cooper-Sterry,"(5-7, 7-5, 6-2)",,,,,,
1896,,,,,,,R. Wrenn,F. Hovey,"(7-5, 3-6, 6-0, 1-6, 6-1)",H. Mahony,W. Baddeley,"(6-2, 6-8, 5-7, 8-6, 6-3)",,,,,,,E. Moore,J. Atkinson,"(6-4, 4-6, 6-2, 6-2)",C. Cooper-Sterry,A. Pickering,"(6-2, 6-3)",,,,,,
1895,,,,,,,F. Hovey,R. Wrenn,"(6-3, 6-2, 6-4)",W. Baddeley,W. Eaves,"(4-6, 2-6, 8-6, 6-2, 6-3)",,,,,,,J. Atkinson,H. Hellwig,"(6-4, 6-2, 6-1)",C. Cooper-Sterry,H. Jackson,"(7-5, 8-6)",,,,,,
1894,,,,,,,R. Wrenn,M. Goodbody,"(6-8, 6-1, 6-4, 6-4)",J. Pim,W. Baddeley,"(10-8, 6-2, 8-6)",,,,,,,H. Hellwig,A. Terry,"(7-5, 3-6, 6-0, 3-6, 6-3)",B. Bingley-Hillyard,E. Austin,"(6-1, 6-1)",,,,,,
1893,,,,,,,R. Wrenn,F. Hovey,"(6-4, 3-6, 6-4, 6-4)",J. Pim,W. Baddeley,"(3-6, 6-1, 6-3, 6-2)",,,,,,,A. Terry,A. Schultz,"(6-1, 6-3)",C. Dod,B. Bingley-Hillyard,"(6-8, 6-1, 6-4)",,,,,,
1892,,,,,,,O. Campbell,F. Hovey,"(7-5, 3-6, 6-3, 7-5)",W. Baddeley,J. Pim,"(4-6, 6-3, 6-3, 6-2)",,,,,,,M. Cahill,E. Moore,"(5-7, 6-3, 6-4, 4-6, 6-2)",C. Dod,B. Bingley-Hillyard,"(6-1, 6-1)",,,,,,
1891,,,,,,,O. Campbell,C. Hobart,"(2-6, 7-5, 7-9, 6-1, 6-2)",W. Baddeley,J. Pim,"(6-4, 1-6, 7-5, 6-0)",,,,,,,M. Cahill,E. Roosevelt,"(6-4, 6-1, 4-6, 6-3)",C. Dod,B. Bingley-Hillyard,"(6-2, 6-1)",,,,,,
1890,,,,,,,O. Campbell,H. Slocum,"(6-2, 4-6, 6-3, 6-1)",W. Hamilton,W. Renshaw,"(6-8, 6-2, 3-6, 6-1, 6-1)",,,,,,,E. Roosevelt,B. Townsend Toulmin,"(6-2, 6-2)",,,,,,,,,
1889,,,,,,,H. Slocum,Q. Shaw,"(6-3, 6-1, 4-6, 6-2)",W. Renshaw,E. Renshaw,"(6-4, 6-1, 3-6, 6-0)",,,,,,,B. Townsend Toulmin,L. Voorhes,"(7-5, 6-2)",B. Bingley-Hillyard,H. Rice,"(4-6, 8-6, 6-4)",,,,,,
1888,,,,,,,H. Slocum,H. Taylor,"(6-4, 6-1, 6-0)",E. Renshaw,H. Lawford,"(6-3, 7-5, 6-0)",,,,,,,B. Townsend Toulmin,E. Hansell,"(6-3, 6-5)",B. Bingley-Hillyard,M. Howes,"(6-1, 6-2)",,,,,,
1887,,,,,,,R. Sears,H. Slocum,"(6-1, 6-3, 6-2)",H. Lawford,E. Renshaw,"(1-6, 6-3, 3-6, 6-4, 6-4)",,,,,,,E. Hansell,L. Knight,"(6-1, 6-0)",C. Dod,E. Cole,"(6-2, 6-3)",,,,,,
1886,,,,,,,R. Sears,R. Beeckman,"(4-6, 6-1, 6-3, 6-4)",W. Renshaw,H. Lawford,"(6-0, 5-7, 6-3, 6-4)",,,,,,,,,,B. Bingley-Hillyard,M. Watson,"(6-3, 6-3)",,,,,,
1885,,,,,,,R. Sears,G. Brinley,"(6-3, 4-6, 6-0, 6-3)",W. Renshaw,H. Lawford,"(7-5, 6-2, 4-6, 7-5)",,,,,,,,,,M. Watson,B. Bingley-Hillyard,"(6-1, 7-5)",,,,,,
1884,,,,,,,R. Sears,H. Taylor,"(6-0, 1-6, 6-0, 6-2)",W. Renshaw,H. Lawford,"(6-0, 6-4, 9-7)",,,,,,,,,,M. Watson,L. Watson,"(6-8, 6-3, 6-3)",,,,,,
1883,,,,,,,R. Sears,J. Dwight,"(6-2, 6-0, 9-7)",W. Renshaw,E. Renshaw,"(2-6, 6-3, 6-3, 4-6, 6-3)",,,,,,,,,,,,,,,,,,
1882,,,,,,,R. Sears,C. Clark,"(6-1, 6-4, 6-0)",W. Renshaw,E. Renshaw,"(6-1, 2-6, 4-6, 6-2, 6-2)",,,,,,,,,,,,,,,,,,
1881,,,,,,,R. Sears,W. Glyn,"(6-0, 6-3, 6-2)",W. Renshaw,J. Hartley,"(6-0, 6-1, 6-1)",,,,,,,,,,,,,,,,,,
1880,,,,,,,,,,J. Hartley,H. Lawford,"(6-3, 6-2, 2-6, 6-3)",,,,,,,,,,,,,,,,,,
1879,,,,,,,,,,J. Hartley,V. Goold,"(6-2, 6-4, 6-2)",,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,P. Hadow,S. Gore,"(7-5, 6-1, 9-7)",,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,S. Gore,W. Marshall,"(6-1, 6-2, 6-4)",,,,,,,,,,,,,,,,,,
