Year,winner open australie,finalist open australie,Score Final
2024,J. Sinner,D. Medvedev,"(3-6, 3-6, 6-4, 6-4, 6-3)"
2023,N. Djokovic,S. Tsitsipas,"(6-3, 7-6, 7-6)"
2022,R. Nadal,D. Medvedev,"(2-6, 6-7, 6-4, 6-4, 7-5)"
2021,N. Djokovic,D. Medvedev,"(7-5, 6-2, 6-2)"
2020,N. Djokovic,D. Thiem,"(6-4, 4-6, 2-6, 6-3, 6-4)"
2019,N. Djokovic,R. Nadal,"(6-3, 6-2, 6-3)"
2018,R. Federer,M. Cilic,"(6-2, 6-7, 6-3, 3-6, 6-1)"
2017,R. Federer,R. Nadal,"(6-4, 3-6, 6-1, 3-6, 6-3)"
2016,N. Djokovic,A. Murray,"(6-1, 7-5, 7-6)"
2015,N. Djokovic,A. Murray,"(7-6, 6-7, 6-3, 6-0)"
2014,S. Wawrinka,R. Nadal,"(6-3, 6-2, 3-6, 6-3)"
2013,N. Djokovic,A. Murray,"(6-7, 7-6, 6-3, 6-2)"
2012,N. Djokovic,R. Nadal,"(5-7, 6-4, 6-2, 6-7, 7-5)"
2011,N. Djokovic,A. Murray,"(6-4, 6-2, 6-3)"
2010,R. Federer,A. Murray,"(6-3, 6-4, 7-6)"
2009,R. Nadal,R. Federer,"(7-5, 3-6, 7-6, 3-6, 6-2)"
2008,N. Djokovic,J. Tsonga,"(4-6, 6-4, 6-3, 7-6)"
2007,R. Federer,F. Gonzalez,"(7-6, 6-4, 6-4)"
2006,R. Federer,M. Baghdatis,"(5-7, 7-5, 6-0, 6-2)"
2005,M. Safin,L. Hewitt,"(1-6, 6-3, 6-4, 6-4)"
2004,R. Federer,M. Safin,"(7-6, 6-4, 6-2)"
2003,A. Agassi,R. Schuettler,"(6-2, 6-2, 6-1)"
2002,T. Johansson,M. Safin,"(3-6, 6-4, 6-4, 7-6)"
2001,A. Agassi,A. Clément,"(6-4, 6-2, 6-2)"
2000,A. Agassi,Y. Kafelnikov,"(3-6, 6-3, 6-2, 6-4)"
1999,Y. Kafelnikov,T. Enqvist,"(4-6, 6-0, 6-3, 7-6)"
1998,P. Korda,M. Rios,"(6-2, 6-2, 6-2)"
1997,P. Sampras,C. Moya,"(6-2, 6-3, 6-3)"
1996,B. Becker,M. Chang,"(6-2, 6-4, 2-6, 6-2)"
1995,A. Agassi,P. Sampras,"(4-6, 6-1, 7-6, 6-4)"
1994,P. Sampras,T. Martin,"(7-6, 6-4, 6-4)"
1993,J. Courier,S. Edberg,"(6-2, 6-1, 2-6, 7-5)"
1992,J. Courier,S. Edberg,"(6-3, 3-6, 6-4, 6-2)"
1991,B. Becker,I. Lendl,"(1-6, 6-4, 6-4, 6-4)"
1990,I. Lendl,S. Edberg,"(4-6, 7-6, 5-2)"
1989,I. Lendl,M. Mecir Sr.,"(6-2, 6-2, 6-2)"
1988,M. Wilander,P. Cash,"(6-3, 6-7, 3-6, 6-1, 8-6)"
1987,S. Edberg,P. Cash,"(6-3, 6-4, 3-6, 5-7, 6-3)"
1985,S. Edberg,M. Wilander,"(6-4, 6-3, 6-3)"
1984,M. Wilander,K. Curren,"(6-7, 6-4, 7-6, 6-2)"
1983,M. Wilander,I. Lendl,"(6-1, 6-4, 6-4)"
1982,J. Kriek,S. Denton,"(6-3, 6-3, 6-2)"
1981,J. Kriek,S. Denton,"(6-2, 7-6, 6-7, 6-4)"
1980,B. Teacher,K. Warwick,"(7-5, 7-6, 6-2)"
1979,G. Vilas,J. Sadri,"(7-6, 6-3, 6-2)"
1978,G. Vilas,J. Marks,"(6-4, 6-4, 3-6, 6-3)"
1977,J. Lloyd,V. Gerulaitis,"(3-6, 6-7, 7-5, 6-3, 2-6)"
1976,M. Edmondson,J. Newcombe,"(6-7, 6-3, 7-6, 6-1)"
1975,J. Newcombe,J. Connors,"(7-5, 3-6, 6-4, 7-6)"
1974,J. Connors,P. Dent,"(7-6, 6-4, 4-6, 6-3)"
1973,J. Newcombe,O. Parun,"(6-3, 6-7, 7-5, 6-1)"
1972,K. Rosewall,M. Anderson,"(7-6, 6-3, 7-5)"
1971,K. Rosewall,A. Ashe,"(6-1, 7-5, 6-3)"
1970,A. Ashe,D. Crealy,"(6-4, 9-7, 6-2)"
1969,R. Laver,A. Gimeno,"(6-3, 6-4, 7-5)"
1968,B. Bowrey,J. Gisbert Sr,"(7-5, 2-6, 9-7, 6-4)"
1967,R. Emerson,A. Ashe,"(6-4, 6-1, 6-4)"
1966,R. Emerson,A. Ashe,"(6-4, 6-8, 6-2, 6-3)"
1965,R. Emerson,F. Stolle,"(7-9, 2-6, 6-4, 7-5, 6-1)"
1964,R. Emerson,F. Stolle,"(6-3, 6-4, 6-2)"
1963,R. Emerson,K. Fletcher,"(6-3, 6-3, 6-1)"
1962,R. Laver,R. Emerson,"(8-6, 0-6, 6-4, 6-4)"
1961,R. Emerson,R. Laver,"(1-6, 6-3, 7-5, 6-4)"
1960,R. Laver,N. Fraser,"(5-7, 3-6, 6-3, 8-6, 8-6)"
1959,A. Olmedo,N. Fraser,"(6-1, 6-2, 3-6, 6-3)"
1958,A. Cooper,M. Anderson,"(7-5, 6-3, 6-4)"
1957,A. Cooper,N. Fraser,"(6-3, 9-11, 6-4, 6-2)"
1956,L. Hoad,K. Rosewall,"(6-4, 3-6, 6-4, 7-5)"
1955,K. Rosewall,L. Hoad,"(9-7, 6-4, 6-4)"
1954,M. Rose,R. Hartwig,"(6-2, 0-6, 6-4, 6-2)"
1953,K. Rosewall,M. Rose,"(6-0, 6-3, 6-4)"
1952,K. Mcgregor,F. Sedgman,"(7-5, 12-10, 2-6, 6-2)"
1951,R. Savitt,K. Mcgregor,"(6-3, 2-6, 6-3, 6-1)"
1950,F. Sedgman,K. Mcgregor,"(6-3, 6-4, 4-6, 6-1)"
1949,F. Sedgman,J. Bromwich,"(6-3, 6-2, 6-2)"
1948,A. Quist,J. Bromwich,"(6-4, 3-6, 6-3, 2-6, 6-3)"
1947,D. Pails,J. Bromwich,"(4-6, 6-4, 3-6, 7-5, 8-6)"
1946,J. Bromwich,D. Pails,"(5-7, 6-3, 7-5, 3-6, 6-2)"
1940,A. Quist,J. Crawford,"(6-3, 6-1, 6-2)"
1939,J. Bromwich,A. Quist,"(6-4, 6-1, 6-2)"
1938,D. Budge,J. Bromwich,"(6-4, 6-2, 6-1)"
1937,V. Mcgrath,J. Bromwich,"(6-3, 1-6, 6-0, 2-6, 6-1)"
1936,A. Quist,J. Crawford,"(6-2, 6-3, 4-6, 3-6, 9-7)"
1935,J. Crawford,F. Perry,"(2-6, 6-4, 6-4, 6-4)"
1934,F. Perry,J. Crawford,"(6-3, 7-5, 6-1)"
1933,J. Crawford,K. Gledhill,"(2-6, 7-5, 6-3, 6-2)"
1932,J. Crawford,H. Hopman,"(4-6, 6-3, 3-6, 6-3, 6-1)"
1931,J. Crawford,H. Hopman,"(6-4, 6-2, 2-6, 6-1)"
1930,E. Moon,H. Hopman,"(6-3, 6-1, 6-3)"
1929,C. Gregory,R. Schlesinger,"(6-2, 6-2, 5-7, 6-4)"
1928,J. Borotra,J. Cummings,"(6-4, 6-1, 4-6, 5-7, 6-3)"
1927,G. Patterson,J. Hawkes,"(3-6, 6-4, 3-6, 18-16, 6-3)"
1926,J. Hawkes,J. Willard,"(6-1, 6-3, 6-1)"
1925,J. Anderson,G. Patterson,"(11-9, 2-6, 6-2, 6-3)"
1924,J. Anderson,R. Schlesinger,"(6-3, 6-4, 3-6, 5-7, 6-3)"
1923,P. O'Hara Wood,C. St John,"(6-1, 6-1, 6-3)"
1922,J. Anderson,G. Patterson,"(6-0, 3-6, 3-6, 6-3, 6-2)"
1921,R. Gemmell,A. Hedemann,"(7-5, 6-1, 6-4)"
1920,P. O'Hara Wood,R. Thomas,"(6-3, 4-6, 6-8, 6-1, 6-3)"
1919,A. Kingscote,E. Pockley,"(6-4, 6-0, 6-3)"
1915,G. Lowe,H. Rice,"(4-6, 6-1, 6-1, 6-4)"
1914,A. O'Hara Wood,G. Patterson,"(6-4, 6-3, 5-7, 6-1)"
1913,E. Parker,H. Parker,"(2-6, 6-1, 6-3, 6-2)"
1912,J. Parke,A. Beamish,"(3-6, 6-3, 1-6, 6-1, 7-5)"
1911,N. Brookes,H. Rice,"(6-1, 6-2, 6-3)"
1910,R. Heath,H. Rice,"(6-4, 6-3, 6-2)"
1909,T. Wilding,E. Parker,"(6-1, 7-5, 6-2)"
1908,F. Alexander,A. Dunlop,"(3-6, 3-6, 6-0, 6-2, 6-3)"
1907,H. Rice,H. Parker,"(6-3, 6-4, 6-4)"
1906,T. Wilding,F. Fisher,"(6-0, 6-4, 6-4)"
1905,R. Heath,A. Curtis,"(4-6, 6-3, 6-4, 6-4)"
