Year,winner rolland garros men,finalist rolland garros men,Score Final
2023,N. Djokovic,C. Ruud,"(7-6, 6-3, 7-5)"
2022,R. Nadal,C. Ruud,"(6-3, 6-3, 6-0)"
2021,N. Djokovic,S. Tsitsipas,"(6-7, 2-6, 6-3, 6-2, 6-4)"
2020,R. Nadal,N. Djokovic,"(6-0, 6-2, 7-5)"
2019,R. Nadal,D. Thiem,"(6-3, 5-7, 6-1, 6-1)"
2018,R. Nadal,D. Thiem,"(6-4, 6-3, 6-2)"
2017,R. Nadal,S. Wawrinka,"(6-2, 6-3, 6-1)"
2016,N. Djokovic,A. Murray,"(3-6, 6-1, 6-2, 6-4)"
2015,S. Wawrinka,N. Djokovic,"(4-6, 6-4, 6-3, 6-4)"
2014,R. Nadal,N. Djokovic,"(3-6, 7-5, 6-2, 6-4)"
2013,R. Nadal,D. Ferrer,"(6-3, 6-2, 6-3)"
2012,R. Nadal,N. Djokovic,"(6-4, 6-3, 2-6, 7-5)"
2011,R. Nadal,R. Federer,"(7-5, 7-6, 5-7, 6-1)"
2010,R. Nadal,R. Soderling,"(6-4, 6-2, 6-4)"
2009,R. Federer,R. Soderling,"(6-1, 7-6, 6-4)"
2008,R. Nadal,R. Federer,"(6-1, 6-3, 6-0)"
2007,R. Nadal,R. Federer,"(6-3, 4-6, 6-3, 6-4)"
2006,R. Nadal,R. Federer,"(1-6, 6-1, 6-4, 7-6)"
2005,R. Nadal,M. Puerta,"(6-7, 6-3, 6-1, 7-5)"
2004,G. Gaudio,G. Coria,"(0-6, 3-6, 6-4, 6-1, 8-6)"
2003,J. Ferrero,M. Verkerk,"(6-1, 6-3, 6-2)"
2002,A. Costa,J. Ferrero,"(6-1, 6-0, 4-6, 6-3)"
2001,G. Kuerten,A. Corretja,"(6-7, 7-5, 6-2, 6-0)"
2000,G. Kuerten,M. Norman,"(6-2, 6-3, 2-6, 7-6)"
1999,A. Agassi,A. Medvedev,"(1-6, 2-6, 6-4, 6-3, 6-4)"
1998,C. Moya,A. Corretja,"(6-3, 7-5, 6-3)"
1997,G. Kuerten,S. Bruguera,"(6-3, 6-4, 6-2)"
1996,Y. Kafelnikov,M. Stich,"(7-6, 7-5, 7-6)"
1995,T. Muster,M. Chang,"(7-5, 6-2, 6-4)"
1994,S. Bruguera,A. Berasategui,"(6-3, 7-5, 2-6, 6-1)"
1993,S. Bruguera,J. Courier,"(6-4, 2-6, 6-2, 3-6, 6-3)"
1992,J. Courier,P. Korda,"(7-5, 6-2, 6-1)"
1991,J. Courier,A. Agassi,"(3-6, 6-4, 2-6, 6-1, 6-4)"
1990,A. Gomez,A. Agassi,"(6-3, 2-6, 6-4, 6-4)"
1989,M. Chang,S. Edberg,"(6-1, 3-6, 4-6, 6-4, 6-2)"
1988,M. Wilander,H. Leconte,"(7-5, 6-2, 6-1)"
1987,I. Lendl,M. Wilander,"(7-5, 6-2, 3-6, 7-6)"
1986,I. Lendl,M. Pernfors,"(6-3, 6-2, 6-4)"
1985,M. Wilander,I. Lendl,"(3-6, 6-4, 6-2, 6-2)"
1984,I. Lendl,J. Mcenroe,"(3-6, 2-6, 6-4, 7-5, 7-5)"
1983,Y. Noah,M. Wilander,"(6-2, 7-5, 7-6)"
1982,M. Wilander,G. Vilas,"(1-6, 7-6, 6-0, 6-4)"
1981,B. Borg,I. Lendl,"(6-1, 4-6, 6-2, 3-6, 6-1)"
1980,B. Borg,V. Gerulaitis,"(6-4, 6-1, 6-2)"
1979,B. Borg,V. Pecci,"(6-3, 6-1, 6-7, 6-4)"
1978,B. Borg,G. Vilas,"(6-1, 6-1, 6-3)"
1977,G. Vilas,B. Gottfried,"(6-0, 6-3, 6-0)"
1976,A. Panatta,H. Solomon,"(6-1, 6-4, 4-6, 7-6)"
1975,B. Borg,G. Vilas,"(6-2, 6-3, 6-4)"
1974,B. Borg,M. Orantes,"(2-6, 6-7, 6-0, 6-1, 6-1)"
1973,I. Nastase,N. Pilic,"(6-3, 6-3, 6-0)"
1972,A. Gimeno,P. Proisy,"(4-6, 6-3, 6-1, 6-1)"
1971,J. Kodes,I. Nastase,"(8-6, 6-2, 2-6, 7-5)"
1970,J. Kodes,Z. Franulovic,"(6-2, 6-4, 6-0)"
1969,R. Laver,K. Rosewall,"(6-4, 6-3, 6-4)"
1968,K. Rosewall,R. Laver,"(6-3, 6-1, 2-6, 6-2)"
1967,R. Emerson,T. Roche,"(6-1, 6-4, 2-6, 6-2)"
1966,T. Roche,I. Gulyas,"(6-1, 6-4, 7-5)"
1965,F. Stolle,T. Roche,"(3-6, 6-0, 6-2, 6-3)"
1964,M. Santana,N. Pietrangeli,"(6-3, 6-1, 4-6, 7-5)"
1963,R. Emerson,P. Darmon,"(3-6, 6-1, 6-4, 6-4)"
1962,R. Laver,R. Emerson,"(3-6, 2-6, 6-3, 9-7, 6-2)"
1961,M. Santana,N. Pietrangeli,"(4-6, 6-1, 3-6, 6-0, 6-2)"
1960,N. Pietrangeli,L. Ayala,"(3-6, 6-3, 6-4, 4-6, 6-3)"
1959,N. Pietrangeli,I. Vermaak,"(3-6, 6-3, 6-4, 6-1)"
1958,M. Rose,L. Ayala,"(6-3, 6-4, 6-4)"
1957,S. Davidson,H. Flam,"(6-3, 6-4, 6-4)"
1956,L. Hoad,S. Davidson,"(6-4, 8-6, 6-3)"
1955,T. Trabert,S. Davidson,"(2-6, 6-1, 6-4, 6-2)"
1954,T. Trabert,A. Larsen,"(6-4, 7-5, 6-1)"
1953,K. Rosewall,V. Seixas,"(6-3, 6-4, 1-6, 6-2)"
1952,J. Drobny,F. Sedgman,"(6-2, 6-0, 3-6, 6-4)"
1951,J. Drobny,E. Sturgess,"(6-3, 6-3, 6-3)"
1950,B. Patty,J. Drobny,"(6-1, 6-2, 3-6, 5-7, 7-5)"
1949,F. Parker,B. Patty,"(6-3, 1-6, 6-1, 6-4)"
1948,F. Parker,J. Drobny,"(6-4, 7-5, 5-7, 8-6)"
1947,J. Asboth,E. Sturgess,"(8-6, 7-5, 6-4)"
1946,M. Bernard,J. Drobny,"(3-6, 2-6, 6-1, 6-4, 6-3)"
1939,W. Mcneill,B. Riggs,"(7-5, 6-0, 6-3)"
1938,D. Budge,R. Menzel,"(6-3, 6-2, 6-4)"
1937,H. Henkel,B. Austin,"(6-1, 6-4, 6-3)"
1936,G. Von Cramm,F. Perry,"(6-0, 2-6, 6-2, 2-6, 6-0)"
1935,F. Perry,G. Von Cramm,"(6-3, 3-6, 6-1, 6-3)"
1934,G. Von Cramm,J. Crawford,"(6-4, 7-9, 3-6, 7-5, 6-3)"
1933,J. Crawford,H. Cochet,"(8-6, 6-1, 6-3)"
1932,H. Cochet,G. De Stefani,"(6-0, 6-4, 4-6, 6-3)"
1931,J. Borotra,C. Boussus,"(2-6, 6-4, 7-5, 6-4)"
1930,H. Cochet,B. Tilden,"(3-6, 8-6, 6-3, 6-1)"
1929,R. Lacoste,J. Borotra,"(6-3, 2-6, 6-0, 2-6, 8-6)"
1928,H. Cochet,R. Lacoste,"(5-7, 6-3, 6-1, 6-3)"
1927,R. Lacoste,B. Tilden,"(6-4, 4-6, 5-7, 6-3, 11-9)"
1926,H. Cochet,R. Lacoste,"(6-2, 6-4, 6-3)"
1925,R. Lacoste,J. Borotra,"(7-5, 6-1, 6-4)"
